# #nu(Hz) #T #rho #c #s
0.000000e+00 1.000000e+00 0.000000e+00 1.000000e+00 0.000000e+00
1.000000e+09 5.060053e-01 1.461074e-01 4.812056e-01 -5.599236e-02
2.000000e+09 3.479404e-01 1.439074e-01 3.149762e-01 3.381021e-02
3.000000e+09 4.809598e-01 1.989485e-01 4.041748e-01 1.684770e-01
4.000000e+09 9.294834e-01 6.739234e-02 7.697887e-01 5.165490e-01
5.000000e+09 5.719414e-01 6.409308e-02 5.552913e-01 1.210809e-01
6.000000e+09 3.659737e-01 1.380081e-01 3.209223e-01 1.090841e-01
7.000000e+09 4.833499e-01 2.342393e-01 3.367773e-01 2.556173e-01
8.000000e+09 8.153498e-01 1.732741e-01 3.868702e-01 6.964933e-01
9.000000e+09 6.849667e-01 -5.229372e-02 5.534440e-01 4.001806e-01
1.000000e+10 4.053554e-01 1.228901e-01 3.252780e-01 2.083392e-01
1.100000e+10 5.048944e-01 2.572373e-01 2.711000e-01 3.394879e-01
1.200000e+10 7.396203e-01 2.385290e-01 1.034170e-01 6.924211e-01
1.300000e+10 7.972889e-01 -1.547757e-01 3.456942e-01 7.015765e-01
1.400000e+10 4.723449e-01 9.203383e-02 3.062276e-01 3.476552e-01
1.500000e+10 5.417434e-01 2.674997e-01 1.922614e-01 4.300760e-01
1.600000e+10 7.040187e-01 2.650273e-01 -8.997717e-02 6.459930e-01
1.700000e+10 8.290397e-01 -1.634138e-01 -1.900074e-02 8.125526e-01
1.800000e+10 5.719924e-01 3.938194e-02 2.182262e-01 5.272586e-01
1.900000e+10 5.931263e-01 2.607825e-01 8.071249e-02 5.265708e-01
2.000000e+10 6.989548e-01 2.654764e-01 -2.425354e-01 5.993635e-01
2.100000e+10 8.076465e-01 -1.061746e-01 -3.259105e-01 7.313017e-01
2.200000e+10 6.945169e-01 -2.766214e-02 8.466296e-03 6.939141e-01
2.300000e+10 6.600623e-01 2.315197e-01 -8.477024e-02 6.122866e-01
2.400000e+10 7.200328e-01 2.460385e-01 -3.882006e-01 5.542676e-01
2.500000e+10 7.981435e-01 -4.972972e-02 -5.293586e-01 5.952642e-01
2.600000e+10 8.056429e-01 -7.900007e-02 -3.048539e-01 7.415414e-01
2.700000e+10 7.416050e-01 1.778070e-01 -3.136883e-01 6.480450e-01
2.800000e+10 7.658762e-01 2.079526e-01 -5.453299e-01 4.959207e-01
2.900000e+10 8.197846e-01 -1.669168e-02 -6.795494e-01 4.582366e-01
3.000000e+10 8.771291e-01 -9.208269e-02 -6.070823e-01 6.263603e-01
3.100000e+10 8.278371e-01 1.087850e-01 -5.776151e-01 5.829588e-01
3.200000e+10 8.328810e-01 1.524617e-01 -7.145381e-01 3.998518e-01
3.300000e+10 8.670724e-01 -6.968024e-03 -8.081741e-01 3.140392e-01
3.400000e+10 9.152031e-01 -7.904678e-02 -8.136184e-01 4.115500e-01
3.500000e+10 8.989709e-01 4.473016e-02 -8.042117e-01 3.992385e-01
3.600000e+10 9.085234e-01 8.752150e-02 -8.710425e-01 2.429810e-01
3.700000e+10 9.253462e-01 -1.272279e-02 -9.141630e-01 1.428629e-01
3.800000e+10 9.366013e-01 -6.097413e-02 -9.200726e-01 1.642272e-01
3.900000e+10 9.400608e-01 9.511617e-04 -9.293874e-01 1.412534e-01
4.000000e+10 9.693493e-01 3.054480e-02 -9.684900e-01 2.706122e-02
4.100000e+10 9.728513e-01 -1.853762e-02 -9.705056e-01 -6.492236e-02
4.200000e+10 9.469145e-01 -4.521909e-02 -9.415347e-01 -9.008169e-02
4.300000e+10 9.523395e-01 -2.451139e-02 -9.433571e-01 -1.281676e-01
4.400000e+10 9.935498e-01 -2.376392e-03 -9.714026e-01 -2.085965e-01
4.500000e+10 9.862113e-01 -4.475098e-03 -9.423881e-01 -2.906842e-01
4.600000e+10 9.403809e-01 -2.571287e-02 -8.761291e-01 -3.406653e-01
4.700000e+10 9.449172e-01 -4.240274e-02 -8.660996e-01 -3.754226e-01
4.800000e+10 9.788182e-01 -1.187893e-02 -8.860968e-01 -4.156637e-01
4.900000e+10 9.559810e-01 3.960987e-02 -8.206013e-01 -4.888192e-01
5.000000e+10 9.062703e-01 9.174248e-03 -7.131467e-01 -5.591632e-01
5.100000e+10 9.227651e-01 -5.887469e-02 -7.085898e-01 -5.881578e-01
5.200000e+10 9.420648e-01 -1.338953e-02 -7.463321e-01 -5.747132e-01
5.300000e+10 8.966689e-01 1.031696e-01 -6.381143e-01 -6.214349e-01
5.400000e+10 8.399815e-01 6.436405e-02 -4.679949e-01 -6.945553e-01
5.500000e+10 8.813448e-01 -6.838708e-02 -4.694965e-01 -7.427415e-01
5.600000e+10 9.050176e-01 -2.320268e-02 -5.776699e-01 -6.962873e-01
5.700000e+10 8.339814e-01 1.654997e-01 -4.417553e-01 -6.877406e-01
5.800000e+10 7.527975e-01 1.283039e-01 -2.016570e-01 -7.138464e-01
5.900000e+10 8.085902e-01 -5.492689e-02 -1.693284e-01 -7.887516e-01
6.000000e+10 8.837808e-01 -5.031090e-02 -3.788024e-01 -7.968977e-01
6.100000e+10 7.864808e-01 2.120147e-01 -2.570930e-01 -7.123938e-01
6.200000e+10 6.647795e-01 1.811398e-01 1.937340e-02 -6.393316e-01
6.300000e+10 7.017945e-01 -9.828786e-03 1.125563e-01 -6.926398e-01
6.400000e+10 8.821426e-01 -9.208788e-02 -1.221176e-01 -8.687823e-01
6.500000e+10 7.619725e-01 2.367638e-01 -8.238705e-02 -7.195536e-01
6.600000e+10 5.893953e-01 2.113466e-01 1.706179e-01 -5.230764e-01
6.700000e+10 5.844713e-01 4.943591e-02 2.886273e-01 -5.058231e-01
6.800000e+10 8.773043e-01 -1.212372e-01 2.106160e-01 -8.429741e-01
6.900000e+10 7.635966e-01 2.361937e-01 1.025130e-01 -7.188764e-01
7.000000e+10 5.305953e-01 2.190234e-01 2.649008e-01 -4.042124e-01
7.100000e+10 4.862111e-01 9.786410e-02 3.530472e-01 -3.196585e-01
7.200000e+10 8.180929e-01 -8.405659e-02 5.232958e-01 -6.231949e-01
7.300000e+10 7.961311e-01 2.033909e-01 3.296664e-01 -6.955407e-01
7.400000e+10 4.886305e-01 2.092029e-01 3.260597e-01 -2.977902e-01
7.500000e+10 4.177794e-01 1.273718e-01 3.559231e-01 -1.778618e-01
7.600000e+10 7.028184e-01 2.219059e-02 6.414747e-01 -2.863067e-01
7.700000e+10 8.669005e-01 1.282320e-01 6.279726e-01 -5.837151e-01
7.800000e+10 4.645069e-01 1.859634e-01 3.746809e-01 -2.019864e-01
