# #nu(Hz) #T #rho #c #s
0.000000e+00 1.000000e+00 0.000000e+00 1.000000e+00 0.000000e+00
1.000000e+09 9.171202e-01 8.097971e-03 9.170344e-01 -9.584091e-03
2.000000e+09 7.433343e-01 2.111337e-02 7.429977e-01 -7.385449e-03
3.000000e+09 5.814189e-01 2.860882e-02 5.807143e-01 5.731539e-04
4.000000e+09 4.652741e-01 3.171212e-02 4.641188e-01 8.246203e-03
5.000000e+09 3.907688e-01 3.352823e-02 3.890517e-01 1.466081e-02
6.000000e+09 3.474112e-01 3.589224e-02 3.449318e-01 2.069500e-02
7.000000e+09 3.276294e-01 3.984633e-02 3.240250e-01 2.758796e-02
8.000000e+09 3.277968e-01 4.629377e-02 3.224101e-01 3.686871e-02
9.000000e+09 3.478522e-01 5.638182e-02 3.394689e-01 5.082413e-02
1.000000e+10 3.911569e-01 7.164499e-02 3.774683e-01 7.340583e-02
1.100000e+10 4.643709e-01 9.350220e-02 4.409246e-01 1.117279e-01
1.200000e+10 5.752181e-01 1.203438e-01 5.337652e-01 1.774485e-01
1.300000e+10 7.221671e-01 1.384930e-01 6.501494e-01 2.822247e-01
1.400000e+10 8.722871e-01 1.123318e-01 7.610625e-01 4.111572e-01
1.500000e+10 9.566247e-01 1.921408e-02 8.229039e-01 4.874328e-01
1.600000e+10 9.201316e-01 -7.693838e-02 8.051987e-01 4.386089e-01
1.700000e+10 7.823994e-01 -1.009594e-01 7.086466e-01 3.158734e-01
1.800000e+10 6.247273e-01 -7.384577e-02 5.834039e-01 2.108814e-01
1.900000e+10 5.010693e-01 -3.882264e-02 4.770927e-01 1.481412e-01
2.000000e+10 4.193009e-01 -1.050272e-02 4.028336e-01 1.158795e-01
2.100000e+10 3.713906e-01 1.159798e-02 3.569385e-01 1.019382e-01
2.200000e+10 3.495647e-01 3.100836e-02 3.334902e-01 1.000910e-01
2.300000e+10 3.497708e-01 5.126020e-02 3.285133e-01 1.085865e-01
2.400000e+10 3.716942e-01 7.580153e-02 3.402175e-01 1.290845e-01
2.500000e+10 4.182776e-01 1.081532e-01 3.679836e-01 1.668746e-01
