# #nu(Hz) #T #rho #c #s
0.000000e+00 1.000000e+00 -2.220446e-16 1.000000e+00 0.000000e+00
1.000000e+09 7.966628e-01 -3.274947e-02 7.932477e-01 6.600976e-02
2.000000e+09 5.295290e-01 -4.754160e-02 5.247738e-01 5.247110e-02
3.000000e+09 3.851890e-01 -4.004872e-02 3.814433e-01 3.560496e-02
4.000000e+09 3.283865e-01 -2.972891e-02 3.257703e-01 2.876793e-02
5.000000e+09 3.311291e-01 -1.803158e-02 3.291863e-01 3.094768e-02
6.000000e+09 3.958288e-01 1.592492e-03 3.929198e-01 4.787433e-02
7.000000e+09 5.556847e-01 4.373949e-02 5.432724e-01 1.082934e-01
8.000000e+09 8.254065e-01 9.393342e-02 7.673825e-01 2.891306e-01
9.000000e+09 9.539073e-01 -1.793816e-02 8.241341e-01 4.800212e-01
1.000000e+10 7.740593e-01 -1.525468e-01 6.673419e-01 3.613198e-01
1.100000e+10 5.429188e-01 -1.292722e-01 4.890705e-01 1.971284e-01
1.200000e+10 4.046346e-01 -7.862177e-02 3.784231e-01 1.197652e-01
1.300000e+10 3.500366e-01 -3.954691e-02 3.346818e-01 9.460323e-02
1.400000e+10 3.593301e-01 -2.492532e-03 3.446009e-01 1.017946e-01
1.500000e+10 4.398337e-01 5.185410e-02 4.092918e-01 1.524633e-01
1.600000e+10 6.200231e-01 1.420628e-01 5.219925e-01 3.029366e-01
1.700000e+10 8.285835e-01 1.704145e-01 5.597283e-01 5.866973e-01
1.800000e+10 8.558013e-01 -5.109728e-02 4.738412e-01 7.108160e-01
1.900000e+10 7.585027e-01 -2.295592e-01 4.648228e-01 5.536865e-01
2.000000e+10 5.858926e-01 -2.001402e-01 4.313420e-01 3.422838e-01
2.100000e+10 4.527018e-01 -1.169031e-01 3.758462e-01 2.236340e-01
2.200000e+10 3.983464e-01 -4.762255e-02 3.497979e-01 1.845356e-01
2.300000e+10 4.173573e-01 2.017599e-02 3.636655e-01 2.037830e-01
2.400000e+10 5.198551e-01 1.142058e-01 4.088554e-01 3.000726e-01
2.500000e+10 6.975548e-01 2.242666e-01 4.143317e-01 5.144088e-01
2.600000e+10 7.887501e-01 1.702182e-01 2.676051e-01 7.221772e-01
2.700000e+10 7.667876e-01 -7.470048e-02 1.715983e-01 7.435974e-01
2.800000e+10 7.421593e-01 -2.560813e-01 2.482130e-01 6.508557e-01
2.900000e+10 6.427599e-01 -2.502918e-01 3.351350e-01 4.880357e-01
3.000000e+10 5.275964e-01 -1.519089e-01 3.528148e-01 3.616676e-01
3.100000e+10 4.775757e-01 -5.166695e-02 3.522087e-01 3.183679e-01
3.200000e+10 5.102906e-01 5.256419e-02 3.598269e-01 3.579918e-01
3.300000e+10 6.269535e-01 1.785886e-01 3.434287e-01 4.931871e-01
3.400000e+10 7.473668e-01 2.504892e-01 2.079660e-01 6.727276e-01
3.500000e+10 7.398100e-01 1.267402e-01 1.423232e-02 7.287340e-01
3.600000e+10 7.148714e-01 -8.485011e-02 -4.014653e-02 7.086818e-01
3.700000e+10 7.309258e-01 -2.442630e-01 5.006299e-02 6.870821e-01
3.800000e+10 6.995772e-01 -2.660115e-01 1.889249e-01 6.188324e-01
3.900000e+10 6.238798e-01 -1.728011e-01 2.730083e-01 5.336967e-01
4.000000e+10 5.897940e-01 -4.699068e-02 2.982080e-01 5.066763e-01
4.100000e+10 6.349596e-01 8.961776e-02 2.763594e-01 5.645953e-01
4.200000e+10 7.310961e-01 2.128114e-01 1.650229e-01 6.796913e-01
4.300000e+10 7.638221e-01 2.147295e-01 -3.611536e-02 7.321278e-01
4.400000e+10 7.182240e-01 7.809777e-02 -1.776958e-01 6.914988e-01
4.500000e+10 7.049205e-01 -8.478417e-02 -2.007655e-01 6.703863e-01
4.600000e+10 7.382026e-01 -2.098469e-01 -1.319786e-01 6.953338e-01
4.700000e+10 7.543708e-01 -2.417354e-01 -8.444359e-03 7.145404e-01
4.800000e+10 7.314919e-01 -1.649483e-01 9.437526e-02 7.063750e-01
4.900000e+10 7.255761e-01 -3.073019e-02 1.217164e-01 7.146337e-01
5.000000e+10 7.677203e-01 1.105693e-01 5.278542e-02 7.578803e-01
5.100000e+10 8.069085e-01 1.910049e-01 -1.073446e-01 7.765923e-01
5.200000e+10 7.806926e-01 1.506152e-01 -2.658513e-01 7.184143e-01
5.300000e+10 7.365291e-01 3.917789e-02 -3.430399e-01 6.505872e-01
5.400000e+10 7.346507e-01 -7.584882e-02 -3.540266e-01 6.392369e-01
5.500000e+10 7.731728e-01 -1.618500e-01 -3.199450e-01 6.850080e-01
5.600000e+10 8.147869e-01 -1.845314e-01 -2.536228e-01 7.519983e-01
5.700000e+10 8.367232e-01 -1.243593e-01 -1.960154e-01 8.038771e-01
5.800000e+10 8.553667e-01 -1.065580e-02 -2.016005e-01 8.312015e-01
5.900000e+10 8.748732e-01 9.448115e-02 -2.868294e-01 8.211001e-01
6.000000e+10 8.642155e-01 1.291959e-01 -4.027716e-01 7.536258e-01
6.100000e+10 8.229784e-01 8.725911e-02 -4.825944e-01 6.608947e-01
6.200000e+10 7.926881e-01 1.318301e-02 -5.174321e-01 6.003704e-01
6.300000e+10 7.982936e-01 -5.783365e-02 -5.297357e-01 5.943973e-01
6.400000e+10 8.349016e-01 -1.057687e-01 -5.319010e-01 6.347873e-01
6.500000e+10 8.820243e-01 -1.122184e-01 -5.296196e-01 6.963310e-01
6.600000e+10 9.211789e-01 -7.004603e-02 -5.373541e-01 7.449259e-01
6.700000e+10 9.442326e-01 -1.133588e-03 -5.717180e-01 7.514735e-01
6.800000e+10 9.444585e-01 5.249825e-02 -6.258313e-01 7.053942e-01
6.900000e+10 9.208013e-01 6.344588e-02 -6.723966e-01 6.258853e-01
7.000000e+10 8.903022e-01 3.859621e-02 -6.985959e-01 5.505562e-01
7.100000e+10 8.743361e-01 3.248328e-04 -7.139847e-01 5.046676e-01
7.200000e+10 8.816679e-01 -3.378006e-02 -7.308512e-01 4.919896e-01
7.300000e+10 9.078608e-01 -5.271906e-02 -7.540730e-01 5.027981e-01
7.400000e+10 9.413581e-01 -5.058041e-02 -7.830944e-01 5.199615e-01
7.500000e+10 9.698152e-01 -2.982379e-02 -8.153508e-01 5.242662e-01
7.600000e+10 9.847153e-01 -2.799485e-03 -8.463533e-01 5.033315e-01
