# #nu(Hz) #T #rho #c #s
0.000000e+00 1.000000e+00 2.220446e-16 1.000000e+00 0.000000e+00
1.000000e+09 9.730914e-01 -5.524690e-03 9.724967e-01 3.356409e-02
2.000000e+09 9.018625e-01 -1.862232e-02 8.998665e-01 5.700407e-02
3.000000e+09 8.074183e-01 -3.250575e-02 8.039593e-01 6.720978e-02
4.000000e+09 7.095172e-01 -4.259790e-02 7.050301e-01 6.732508e-02
5.000000e+09 6.201765e-01 -4.787383e-02 6.151995e-01 6.210170e-02
6.000000e+09 5.442875e-01 -4.928927e-02 5.392454e-01 5.508112e-02
7.000000e+09 4.824911e-01 -4.822486e-02 4.776512e-01 4.818104e-02
8.000000e+09 4.335391e-01 -4.579611e-02 4.290425e-01 4.220674e-02
9.000000e+09 3.956369e-01 -4.272576e-02 3.915426e-01 3.738302e-02
1.000000e+10 3.670614e-01 -3.941793e-02 3.633806e-01 3.368815e-02
1.100000e+10 3.463923e-01 -3.606060e-02 3.431103e-01 3.102575e-02
1.200000e+10 3.325674e-01 -3.270327e-02 3.296556e-01 2.930450e-02
1.300000e+10 3.248739e-01 -2.930420e-02 3.222941e-01 2.847447e-02
1.400000e+10 3.229246e-01 -2.575344e-02 3.206277e-01 2.854726e-02
1.500000e+10 3.266413e-01 -2.187829e-02 3.245594e-01 2.961532e-02
1.600000e+10 3.362538e-01 -1.743592e-02 3.342847e-01 3.188008e-02
1.700000e+10 3.523157e-01 -1.209617e-02 3.502937e-01 3.569836e-02
1.800000e+10 3.757331e-01 -5.419141e-03 3.733772e-01 4.165869e-02
1.900000e+10 4.077895e-01 3.161047e-03 4.046128e-01 5.070230e-02
2.000000e+10 4.501248e-01 1.431565e-02 4.452781e-01 6.430263e-02
2.100000e+10 5.045667e-01 2.868847e-02 4.965797e-01 8.469407e-02
2.200000e+10 5.726027e-01 4.649253e-02 5.589954e-01 1.150498e-01
2.300000e+10 6.541517e-01 6.658748e-02 6.309659e-01 1.592564e-01
2.400000e+10 7.453680e-01 8.491874e-02 7.069333e-01 2.204714e-01
2.500000e+10 8.361757e-01 9.316636e-02 7.758953e-01 2.974835e-01
2.600000e+10 9.104330e-01 8.046427e-02 8.234974e-01 3.798235e-01
2.700000e+10 9.520218e-01 4.080261e-02 8.393752e-01 4.473589e-01
2.800000e+10 9.535795e-01 -1.886729e-02 8.237521e-01 4.799898e-01
2.900000e+10 9.188096e-01 -8.066742e-02 7.849979e-01 4.706190e-01
3.000000e+10 8.576488e-01 -1.275640e-01 7.322424e-01 4.279136e-01
3.100000e+10 7.815285e-01 -1.523313e-01 6.723075e-01 3.682180e-01
3.200000e+10 7.009940e-01 -1.573166e-01 6.105963e-01 3.062944e-01
3.300000e+10 6.241515e-01 -1.491812e-01 5.516240e-01 2.510399e-01
3.400000e+10 5.558998e-01 -1.343848e-01 4.985933e-01 2.058397e-01
3.500000e+10 4.982814e-01 -1.173594e-01 4.531709e-01 1.707258e-01
