# #nu(Hz) #T #rho #c #s
0.000000e+00 1.000000e+00 -2.220446e-16 1.000000e+00 0.000000e+00
1.000000e+09 9.580490e-01 -5.655805e-03 9.575605e-01 3.006156e-02
2.000000e+09 8.538639e-01 -1.734946e-02 8.523724e-01 4.737079e-02
3.000000e+09 7.294636e-01 -2.683644e-02 7.271726e-01 5.115533e-02
4.000000e+09 6.149557e-01 -3.112461e-02 6.123218e-01 4.757892e-02
5.000000e+09 5.219305e-01 -3.128075e-02 5.193065e-01 4.187798e-02
6.000000e+09 4.511121e-01 -2.913422e-02 4.486819e-01 3.657709e-02
7.000000e+09 3.993679e-01 -2.595523e-02 3.971958e-01 3.250394e-02
8.000000e+09 3.630941e-01 -2.238222e-02 3.611771e-01 2.978938e-02
9.000000e+09 3.393726e-01 -1.863451e-02 3.376703e-01 2.837730e-02
1.000000e+10 3.262108e-01 -1.468243e-02 3.246546e-01 2.823623e-02
1.100000e+10 3.225039e-01 -1.033272e-02 3.209900e-01 2.945171e-02
1.200000e+10 3.279662e-01 -5.250276e-03 3.263301e-01 3.229458e-02
1.300000e+10 3.431121e-01 1.062767e-03 3.410751e-01 3.731724e-02
1.400000e+10 3.693004e-01 9.312516e-03 3.663656e-01 4.552216e-02
1.500000e+10 4.088031e-01 2.044754e-02 4.040562e-01 5.865531e-02
1.600000e+10 4.647541e-01 3.557098e-02 4.564901e-01 7.967295e-02
1.700000e+10 5.405484e-01 5.541303e-02 5.256266e-01 1.133077e-01
1.800000e+10 6.377088e-01 7.865548e-02 6.106562e-01 1.660869e-01
1.900000e+10 7.508739e-01 9.835966e-02 7.034206e-01 2.435907e-01
2.000000e+10 8.611800e-01 9.869455e-02 7.844269e-01 3.414160e-01
2.100000e+10 9.377899e-01 6.193820e-02 8.292067e-01 4.336240e-01
2.200000e+10 9.563964e-01 -9.360366e-03 8.268232e-01 4.805932e-01
2.300000e+10 9.156276e-01 -8.436404e-02 7.855406e-01 4.627987e-01
2.400000e+10 8.322265e-01 -1.316937e-01 7.192615e-01 3.973922e-01
2.500000e+10 7.295970e-01 -1.443068e-01 6.410021e-01 3.171807e-01
2.600000e+10 6.285833e-01 -1.336225e-01 5.629892e-01 2.455710e-01
2.700000e+10 5.415368e-01 -1.131728e-01 4.940132e-01 1.908010e-01
2.800000e+10 4.725260e-01 -9.119272e-02 4.379690e-01 1.521440e-01
2.900000e+10 4.209059e-01 -7.103084e-02 3.952324e-01 1.261261e-01
3.000000e+10 3.844067e-01 -5.336032e-02 3.646163e-01 1.094356e-01
3.100000e+10 3.607487e-01 -3.771909e-02 3.446359e-01 9.971439e-02
3.200000e+10 3.482623e-01 -2.323405e-02 3.340855e-01 9.557047e-02
3.300000e+10 3.460619e-01 -8.872196e-03 3.322329e-01 9.644369e-02
3.400000e+10 3.540804e-01 6.527322e-03 3.388445e-01 1.025414e-01
3.500000e+10 3.730868e-01 2.430439e-02 3.541174e-01 1.149083e-01
3.600000e+10 4.046867e-01 4.601362e-02 3.784864e-01 1.356545e-01
3.700000e+10 4.511710e-01 7.327786e-02 4.121364e-01 1.683128e-01
3.800000e+10 5.148117e-01 1.070665e-01 4.538754e-01 2.180939e-01
3.900000e+10 5.957951e-01 1.456311e-01 4.989895e-01 2.911578e-01
4.000000e+10 6.880764e-01 1.805065e-01 5.367404e-01 3.908660e-01
4.100000e+10 7.755144e-01 1.932179e-01 5.518124e-01 5.095022e-01
4.200000e+10 8.369903e-01 1.619471e-01 5.360610e-01 6.220647e-01
4.300000e+10 8.629458e-01 8.129041e-02 5.022174e-01 6.970258e-01
4.400000e+10 8.610492e-01 -2.745407e-02 4.752916e-01 7.174607e-01
4.500000e+10 8.401719e-01 -1.303385e-01 4.680852e-01 6.854174e-01
4.600000e+10 7.999918e-01 -1.999467e-01 4.728534e-01 6.135290e-01
4.700000e+10 7.393661e-01 -2.262221e-01 4.737699e-01 5.206034e-01
4.800000e+10 6.654646e-01 -2.169160e-01 4.621242e-01 4.268862e-01
4.900000e+10 5.905996e-01 -1.878372e-01 4.398186e-01 3.465323e-01
5.000000e+10 5.245913e-01 -1.523212e-01 4.134121e-01 2.847538e-01
5.100000e+10 4.720207e-01 -1.175885e-01 3.886109e-01 2.407448e-01
5.200000e+10 4.337112e-01 -8.608624e-02 3.686993e-01 2.115547e-01
5.300000e+10 4.088912e-01 -5.770815e-02 3.550989e-01 1.943362e-01
5.400000e+10 3.965831e-01 -3.123897e-02 3.482361e-01 1.871733e-01
5.500000e+10 3.962607e-01 -5.016829e-03 3.481007e-01 1.892703e-01
5.600000e+10 4.080986e-01 2.283588e-02 3.544419e-01 2.009824e-01
5.700000e+10 4.329878e-01 5.430895e-02 3.666234e-01 2.238665e-01
5.800000e+10 4.722648e-01 9.123421e-02 3.830716e-01 2.607039e-01
5.900000e+10 5.268148e-01 1.344105e-01 4.001846e-01 3.151506e-01
6.000000e+10 5.949559e-01 1.815017e-01 4.108619e-01 3.901565e-01
6.100000e+10 6.690567e-01 2.236688e-01 4.041500e-01 4.840165e-01
6.200000e+10 7.338832e-01 2.439900e-01 3.697285e-01 5.851105e-01
6.300000e+10 7.733055e-01 2.244328e-01 3.086321e-01 6.725902e-01
6.400000e+10 7.839903e-01 1.602721e-01 2.392700e-01 7.291800e-01
6.500000e+10 7.784574e-01 6.475877e-02 1.864888e-01 7.530101e-01
6.600000e+10 7.715816e-01 -4.156782e-02 1.657976e-01 7.524105e-01
6.700000e+10 7.680958e-01 -1.402253e-01 1.790211e-01 7.336617e-01
6.800000e+10 7.615223e-01 -2.160408e-01 2.174129e-01 6.971186e-01
6.900000e+10 7.415282e-01 -2.582140e-01 2.657696e-01 6.423053e-01
7.000000e+10 7.034498e-01 -2.645554e-01 3.085819e-01 5.741334e-01
7.100000e+10 6.521776e-01 -2.427708e-01 3.369253e-01 5.028710e-01
7.200000e+10 5.977606e-01 -2.051208e-01 3.504248e-01 4.386863e-01
7.300000e+10 5.490854e-01 -1.618618e-01 3.536852e-01 3.875594e-01
7.400000e+10 5.112942e-01 -1.186548e-01 3.520121e-01 3.513264e-01
7.500000e+10 4.864884e-01 -7.730053e-02 3.493209e-01 3.296520e-01
7.600000e+10 4.752695e-01 -3.730870e-02 3.477998e-01 3.217521e-01
7.700000e+10 4.778583e-01 2.914404e-03 3.481373e-01 3.273233e-01
7.800000e+10 4.945762e-01 4.531863e-02 3.496223e-01 3.468661e-01
7.900000e+10 5.256995e-01 9.153407e-02 3.498823e-01 3.815282e-01
8.000000e+10 5.705490e-01 1.417748e-01 3.443250e-01 4.322805e-01
8.100000e+10 6.256269e-01 1.929320e-01 3.258758e-01 4.979872e-01
8.200000e+10 6.824162e-01 2.363809e-01 2.865732e-01 5.724437e-01
