# #nu(Hz) #T #rho #c #s
0.000000e+00 1.000000e+00 0.000000e+00 1.000000e+00 0.000000e+00
1.000000e+09 4.830348e-01 -4.113116e-02 4.792101e-01 4.459305e-02
2.000000e+09 3.226899e-01 -1.960891e-02 3.207925e-01 2.892057e-02
3.000000e+09 5.026761e-01 3.515510e-02 4.935437e-01 8.866762e-02
4.000000e+09 9.548731e-01 -1.499361e-02 8.252310e-01 4.801579e-01
5.000000e+09 5.008400e-01 -1.113126e-01 4.576213e-01 1.703906e-01
6.000000e+09 3.465974e-01 -1.746038e-02 3.328650e-01 9.500422e-02
7.000000e+09 5.610753e-01 1.200448e-01 4.871763e-01 2.511056e-01
8.000000e+09 8.577913e-01 -4.306697e-02 4.745390e-01 7.132769e-01
9.000000e+09 5.490168e-01 -1.762718e-01 4.199617e-01 3.065614e-01
1.000000e+10 3.977136e-01 -1.181244e-02 3.504865e-01 1.876054e-01
1.100000e+10 6.450601e-01 2.025815e-01 4.203227e-01 4.454122e-01
1.200000e+10 7.685468e-01 -6.353845e-02 1.696084e-01 7.469003e-01
1.300000e+10 6.153790e-01 -2.276095e-01 3.448189e-01 4.560539e-01
1.400000e+10 4.812073e-01 -2.497808e-04 3.528311e-01 3.272165e-01
1.500000e+10 7.205144e-01 2.492761e-01 2.566870e-01 6.253913e-01
1.600000e+10 7.157910e-01 -7.282640e-02 -4.460070e-02 7.106784e-01
1.700000e+10 6.855895e-01 -2.497215e-01 2.116679e-01 6.023860e-01
1.800000e+10 5.987068e-01 1.836888e-02 2.918252e-01 5.224467e-01
1.900000e+10 7.637048e-01 2.353911e-01 2.127113e-02 7.262118e-01
2.000000e+10 7.049358e-01 -7.345480e-02 -2.064521e-01 6.700123e-01
2.100000e+10 7.530042e-01 -2.319474e-01 1.294210e-02 7.162739e-01
2.200000e+10 7.368686e-01 3.768196e-02 1.002676e-01 7.290417e-01
2.300000e+10 7.925482e-01 1.781852e-01 -2.268297e-01 7.381944e-01
2.400000e+10 7.337886e-01 -6.642426e-02 -3.594684e-01 6.362515e-01
2.500000e+10 8.210972e-01 -1.784510e-01 -2.445620e-01 7.632466e-01
2.600000e+10 8.622462e-01 4.243320e-02 -2.320037e-01 8.293626e-01
2.700000e+10 8.352133e-01 1.099326e-01 -4.645983e-01 6.853061e-01
2.800000e+10 7.965805e-01 -5.140888e-02 -5.332289e-01 5.895461e-01
2.900000e+10 8.898158e-01 -1.084213e-01 -5.327335e-01 7.044232e-01
3.000000e+10 9.451959e-01 2.714701e-02 -5.937029e-01 7.349661e-01
3.100000e+10 8.980133e-01 5.205307e-02 -6.927936e-01 5.689951e-01
3.200000e+10 8.794846e-01 -3.085163e-02 -7.312706e-01 4.876317e-01
3.300000e+10 9.460787e-01 -4.927293e-02 -7.892399e-01 5.193625e-01
3.400000e+10 9.849344e-01 7.183730e-03 -8.569012e-01 4.855559e-01
3.500000e+10 9.632505e-01 1.562639e-02 -8.900168e-01 3.680727e-01
3.600000e+10 9.558126e-01 -1.304259e-02 -9.112629e-01 2.881101e-01
3.700000e+10 9.781978e-01 -1.803677e-02 -9.482694e-01 2.394383e-01
3.800000e+10 9.953477e-01 -3.932522e-03 -9.806270e-01 1.705060e-01
3.900000e+10 9.988666e-01 9.951355e-04 -9.953952e-01 8.319821e-02
4.000000e+10 9.959478e-01 -3.390752e-03 -9.959404e-01 -1.809714e-03
4.100000e+10 9.897856e-01 -9.605397e-03 -9.864941e-01 -8.007869e-02
4.200000e+10 9.823351e-01 -1.242491e-02 -9.707931e-01 -1.496281e-01
4.300000e+10 9.796926e-01 -1.996218e-03 -9.547781e-01 -2.195273e-01
4.400000e+10 9.895113e-01 9.621149e-03 -9.388624e-01 -3.123739e-01
4.500000e+10 9.859813e-01 -1.236748e-02 -9.002861e-01 -4.018596e-01
4.600000e+10 9.422454e-01 -3.694125e-02 -8.395798e-01 -4.261076e-01
4.700000e+10 9.116748e-01 -7.096059e-04 -7.937687e-01 -4.484213e-01
4.800000e+10 9.490020e-01 4.461995e-02 -7.570586e-01 -5.705051e-01
4.900000e+10 9.571745e-01 -2.492790e-02 -6.747027e-01 -6.784821e-01
5.000000e+10 8.790886e-01 -8.637011e-02 -6.254732e-01 -6.116538e-01
5.100000e+10 8.275041e-01 7.595247e-03 -5.942954e-01 -5.757763e-01
5.200000e+10 8.933125e-01 1.039351e-01 -4.932988e-01 -7.374694e-01
5.300000e+10 8.860329e-01 -5.106039e-02 -3.319056e-01 -8.199304e-01
5.400000e+10 8.134164e-01 -1.491619e-01 -3.911746e-01 -6.974090e-01
5.500000e+10 7.590351e-01 2.699312e-02 -4.101463e-01 -6.381110e-01
5.600000e+10 8.305484e-01 1.663881e-01 -1.884809e-01 -7.915811e-01
5.700000e+10 7.733283e-01 -8.158860e-02 1.312540e-02 -7.689003e-01
5.800000e+10 7.654077e-01 -2.083454e-01 -1.751288e-01 -7.153817e-01
5.900000e+10 7.239513e-01 5.820193e-02 -2.442542e-01 -6.790125e-01
6.000000e+10 7.505099e-01 1.972007e-01 1.022108e-01 -7.168891e-01
6.100000e+10 6.448888e-01 -9.781817e-02 2.416616e-01 -5.898414e-01
6.200000e+10 7.399329e-01 -2.526021e-01 2.313251e-02 -6.950955e-01
6.300000e+10 7.285942e-01 9.976396e-02 -6.896594e-02 -7.184291e-01
6.400000e+10 6.447967e-01 1.761645e-01 3.046584e-01 -5.402889e-01
6.500000e+10 5.286576e-01 -9.384741e-02 3.394974e-01 -3.942245e-01
6.600000e+10 7.276654e-01 -2.711866e-01 2.163616e-01 -6.396425e-01
6.700000e+10 7.690726e-01 1.444173e-01 1.546214e-01 -7.393974e-01
