# #nu(Hz) #T #rho #c #s
0.000000e+00 1.208333e+00 2.083326e-01 1.190237e+00 0.000000e+00
1.000000e+09 1.124869e-31 1.097884e-31 2.449079e-32 -9.063083e-48
2.000000e+09 1.649138e-31 1.628980e-31 2.570616e-32 7.327940e-48
3.000000e+09 9.684737e-31 9.458780e-31 -2.079807e-31 3.599692e-46
4.000000e+09 8.800439e-32 8.308561e-32 2.900954e-32 -5.686534e-48
5.000000e+09 2.987007e-31 2.967852e-31 3.377359e-32 3.565088e-48
6.000000e+09 2.432638e-31 2.365706e-31 -5.667137e-32 2.128736e-47
7.000000e+09 7.921355e-32 6.432726e-32 4.622543e-32 7.599001e-48
8.000000e+09 8.308358e-31 8.285784e-31 6.120439e-32 -1.751782e-48
9.000000e+09 1.092122e-31 1.052638e-31 -2.910044e-32 1.953383e-47
1.000000e+10 1.736008e-31 -4.545723e-32 1.675436e-31 9.698765e-47
1.100000e+10 1.241390e-29 1.241061e-29 2.856714e-31 1.410428e-45
1.200000e+10 6.261917e-32 5.931750e-32 -2.006476e-32 8.864386e-48
1.300000e+10 1.168427e-31 2.967226e-33 -1.168050e-31 -1.328289e-47
1.400000e+10 2.933802e-30 2.927806e-30 -1.874668e-31 4.050373e-46
1.500000e+10 4.148634e-32 3.797575e-32 -1.670207e-32 3.701627e-48
1.600000e+10 6.986549e-32 4.616398e-32 -5.244115e-32 6.215431e-48
1.700000e+10 4.663166e-31 4.521428e-31 -1.140969e-31 1.189919e-46
1.800000e+10 3.062803e-32 2.613362e-32 -1.597216e-32 1.861515e-49
1.900000e+10 6.501251e-32 5.050508e-32 -4.093731e-32 -2.913301e-48
2.000000e+10 2.032593e-31 1.565820e-31 -1.296011e-31 5.531867e-47
2.100000e+10 2.505050e-32 1.841143e-32 -1.698666e-32 1.148499e-48
2.200000e+10 6.556347e-32 5.213767e-32 -3.975214e-32 -1.365511e-48
2.300000e+10 2.241234e-31 -2.838556e-32 -2.223186e-31 -1.369200e-49
2.400000e+10 2.299967e-32 1.224266e-32 -1.947054e-32 -4.130748e-50
2.500000e+10 6.914839e-32 5.340106e-32 -4.392980e-32 7.579873e-48
2.600000e+10 1.936942e-30 -1.809534e-30 -6.908931e-31 -2.391492e-45
2.700000e+10 2.392717e-32 6.132193e-33 -2.312803e-32 2.445817e-48
2.800000e+10 7.594448e-32 5.464760e-32 -5.273712e-32 -9.687328e-48
2.900000e+10 4.388848e-27 -4.388755e-27 2.862601e-29 -3.088703e-42
3.000000e+10 2.713541e-32 -2.678297e-34 -2.713409e-32 2.995606e-48
3.100000e+10 8.691965e-32 5.618870e-32 -6.631633e-32 -2.035908e-47
3.200000e+10 5.723821e-29 -5.716360e-29 -2.921571e-30 -5.395552e-44
3.300000e+10 3.056311e-32 -5.444603e-33 -3.007424e-32 -1.922375e-48
3.400000e+10 1.032277e-31 5.937895e-32 -8.443990e-32 -7.141962e-48
3.500000e+10 1.672657e-30 -1.608836e-30 -4.576337e-31 -3.546772e-47
3.600000e+10 3.160001e-32 -7.052546e-33 -3.080296e-32 -5.515827e-48
3.700000e+10 1.256131e-31 6.836347e-32 -1.053807e-31 -2.729444e-47
3.800000e+10 3.874824e-31 -3.297794e-31 -2.034407e-31 -1.727847e-46
3.900000e+10 2.964885e-32 -4.563164e-33 -2.929559e-32 -1.163508e-48
4.000000e+10 1.552235e-31 9.225251e-32 -1.248351e-31 -5.972886e-47
4.100000e+10 1.725436e-31 -1.178924e-31 -1.259869e-31 -8.297384e-47
4.200000e+10 2.644443e-32 3.975314e-34 -2.644144e-32 -3.556172e-48
4.300000e+10 2.008563e-31 1.467606e-31 -1.371298e-31 -4.709185e-47
4.400000e+10 1.118372e-31 -5.798054e-32 -9.563375e-32 -9.610387e-47
4.500000e+10 2.414001e-32 6.003932e-33 -2.338146e-32 -4.132730e-48
4.600000e+10 3.008749e-31 2.650792e-31 -1.423332e-31 -9.847365e-47
4.700000e+10 9.906046e-32 -4.411845e-32 -8.869351e-32 -1.525837e-47
4.800000e+10 2.404706e-32 1.161827e-32 -2.105414e-32 -7.305887e-48
4.900000e+10 6.068410e-31 5.869655e-31 -1.540375e-31 -1.572150e-46
5.000000e+10 1.376879e-31 -7.987289e-32 -1.121529e-31 -1.373191e-47
5.100000e+10 2.688152e-32 1.784759e-32 -2.010173e-32 -8.316116e-48
5.200000e+10 2.323110e-30 2.312559e-30 -2.211677e-31 -5.037882e-46
5.300000e+10 1.696699e-30 -1.634064e-30 -4.567510e-31 -1.366474e-45
5.400000e+10 3.375762e-32 2.629152e-32 -2.117388e-32 -6.232879e-48
5.500000e+10 7.517958e-27 7.517952e-27 9.457567e-30 -1.279750e-42
5.600000e+10 1.223005e-31 -5.243013e-32 1.104920e-31 -5.243527e-47
5.700000e+10 4.764934e-32 4.010559e-32 -2.572937e-32 -6.060240e-48
5.800000e+10 2.135007e-30 2.131214e-30 1.272101e-31 -2.682000e-46
5.900000e+10 5.163590e-32 2.884901e-32 4.282523e-32 3.723093e-49
