# #nu(Hz) #T #rho #c #s
0.000000e+00 1.000000e+00 0.000000e+00 1.000000e+00 0.000000e+00
1.000000e+09 3.851265e-01 -4.290342e-02 3.809974e-01 3.636844e-02
2.000000e+09 3.962291e-01 -1.182303e-03 3.934559e-01 4.678175e-02
3.000000e+09 9.533083e-01 -1.961377e-02 8.234332e-01 4.799685e-01
4.000000e+09 4.041885e-01 -8.117193e-02 3.774142e-01 1.197412e-01
5.000000e+09 4.410500e-01 4.968494e-02 4.111068e-01 1.518147e-01
6.000000e+09 8.545883e-01 -5.562226e-02 4.733592e-01 7.093367e-01
7.000000e+09 4.518069e-01 -1.187742e-01 3.748550e-01 2.224993e-01
8.000000e+09 5.224670e-01 1.133273e-01 4.116134e-01 3.011695e-01
9.000000e+09 7.657401e-01 -8.094505e-02 1.727305e-01 7.415996e-01
1.000000e+10 5.262600e-01 -1.527218e-01 3.527599e-01 3.594247e-01
1.100000e+10 6.310194e-01 1.791649e-01 3.451299e-01 4.969616e-01
1.200000e+10 7.143440e-01 -9.154850e-02 -3.754798e-02 7.074577e-01
1.300000e+10 6.224996e-01 -1.723080e-01 2.748948e-01 5.312707e-01
1.400000e+10 7.350203e-01 2.134061e-01 1.631543e-01 6.841735e-01
1.500000e+10 7.049327e-01 -9.107132e-02 -1.974436e-01 6.705611e-01
1.600000e+10 7.309501e-01 -1.631676e-01 9.799016e-02 7.057353e-01
1.700000e+10 8.088591e-01 1.900107e-01 -1.116154e-01 7.782615e-01
1.800000e+10 7.351744e-01 -8.104153e-02 -3.508611e-01 6.409448e-01
1.900000e+10 8.376921e-01 -1.216700e-01 -1.931284e-01 8.059937e-01
2.000000e+10 8.643933e-01 1.270322e-01 -4.060609e-01 7.524315e-01
2.100000e+10 7.993095e-01 -6.131266e-02 -5.277357e-01 5.971863e-01
2.200000e+10 9.230971e-01 -6.739221e-02 -5.372802e-01 7.475938e-01
2.300000e+10 9.204672e-01 6.145478e-02 -6.737371e-01 6.241486e-01
2.400000e+10 8.829471e-01 -3.528968e-02 -7.306612e-01 4.944535e-01
2.500000e+10 9.713958e-01 -2.815380e-02 -8.168319e-01 5.249788e-01
2.600000e+10 9.729124e-01 1.806186e-02 -8.850284e-01 4.036794e-01
2.700000e+10 9.582819e-01 -1.360189e-02 -9.134247e-01 2.894381e-01
2.800000e+10 9.877384e-01 -1.158062e-02 -9.636001e-01 2.167208e-01
2.900000e+10 9.991602e-01 6.163032e-04 -9.933306e-01 1.077728e-01
3.000000e+10 9.963945e-01 -3.079379e-03 -9.963676e-01 -6.640475e-03
3.100000e+10 9.871710e-01 -1.074927e-02 -9.809233e-01 -1.103652e-01
3.200000e+10 9.771940e-01 -6.174188e-03 -9.561623e-01 -2.015531e-01
3.300000e+10 9.900454e-01 9.230839e-03 -9.362270e-01 -3.218440e-01
3.400000e+10 9.716118e-01 -2.698401e-02 -8.742076e-01 -4.231578e-01
3.500000e+10 9.083967e-01 -1.675655e-02 -7.962990e-01 -4.368199e-01
3.600000e+10 9.525635e-01 4.348647e-02 -7.495494e-01 -5.862268e-01
3.700000e+10 9.299458e-01 -7.005420e-02 -6.413662e-01 -6.697320e-01
3.800000e+10 8.215400e-01 -2.837373e-02 -5.953071e-01 -5.654489e-01
3.900000e+10 8.988239e-01 1.009651e-01 -4.724659e-01 -7.579356e-01
4.000000e+10 8.597556e-01 -1.353265e-01 -3.300938e-01 -7.822433e-01
4.100000e+10 7.485456e-01 -3.207628e-02 -4.131787e-01 -6.233578e-01
4.200000e+10 8.301259e-01 1.561291e-01 -1.479129e-01 -8.017821e-01
4.300000e+10 7.752246e-01 -1.951850e-01 -3.321850e-02 -7.495149e-01
4.400000e+10 7.078627e-01 -2.423137e-02 -2.571711e-01 -6.590489e-01
4.500000e+10 7.338427e-01 1.720145e-01 1.478183e-01 -6.979154e-01
4.600000e+10 6.882608e-01 -2.231618e-01 1.867777e-01 -6.237114e-01
4.700000e+10 7.075655e-01 -4.737305e-03 -1.014459e-01 -7.002394e-01
4.800000e+10 6.126379e-01 1.384766e-01 3.283340e-01 -4.983434e-01
4.900000e+10 6.031597e-01 -2.126245e-01 3.196435e-01 -4.652102e-01
5.000000e+10 7.508787e-01 2.561286e-02 9.722230e-02 -7.441174e-01
5.100000e+10 4.978503e-01 8.402624e-02 3.861798e-01 -3.027534e-01
5.200000e+10 5.268425e-01 -1.742916e-01 3.850085e-01 -3.145693e-01
5.300000e+10 8.318301e-01 5.987967e-02 3.829206e-01 -7.360214e-01
5.400000e+10 4.146094e-01 3.554960e-02 3.805937e-01 -1.605790e-01
5.500000e+10 4.698274e-01 -1.233885e-01 4.125312e-01 -1.879657e-01
5.600000e+10 9.178612e-01 7.099340e-02 7.287237e-01 -5.535259e-01
5.700000e+10 3.668051e-01 -7.982306e-04 3.610349e-01 -6.480068e-02
5.800000e+10 4.405783e-01 -6.857256e-02 4.275890e-01 -8.108433e-02
5.900000e+10 9.524405e-01 2.177815e-02 9.425078e-01 -1.354536e-01
