# #nu(Hz) #T #rho #c #s
0.000000e+00 1.000000e+00 0.000000e+00 1.000000e+00 0.000000e+00
1.000000e+09 9.606856e-01 -8.113970e-03 9.598027e-01 4.037021e-02
2.000000e+09 8.622210e-01 -2.540974e-02 8.594739e-01 6.390691e-02
3.000000e+09 7.428805e-01 -4.042359e-02 7.385571e-01 6.907121e-02
4.000000e+09 6.309774e-01 -4.837877e-02 6.258814e-01 6.375313e-02
5.000000e+09 5.382617e-01 -5.027987e-02 5.330690e-01 5.509055e-02
6.000000e+09 4.662463e-01 -4.859114e-02 4.613484e-01 4.671396e-02
7.000000e+09 4.124639e-01 -4.521595e-02 4.080343e-01 3.987491e-02
8.000000e+09 3.736895e-01 -4.122919e-02 3.697772e-01 3.476771e-02
9.000000e+09 3.471474e-01 -3.711468e-02 3.437401e-01 3.124990e-02
1.000000e+10 3.308240e-01 -3.300327e-02 3.278806e-01 2.914740e-02
1.100000e+10 3.234718e-01 -2.881491e-02 3.209341e-01 2.837234e-02
1.200000e+10 3.245522e-01 -2.431983e-02 3.223396e-01 2.897988e-02
1.300000e+10 3.342033e-01 -1.914391e-02 3.321902e-01 3.122611e-02
1.400000e+10 3.532602e-01 -1.273539e-02 3.512242e-01 3.566708e-02
1.500000e+10 3.833221e-01 -4.308150e-03 3.808397e-01 4.334074e-02
1.600000e+10 4.268134e-01 7.199055e-03 4.230509e-01 5.608725e-02
1.700000e+10 4.868607e-01 2.301946e-02 4.801729e-01 7.705471e-02
1.800000e+10 5.665005e-01 4.394849e-02 5.537216e-01 1.112823e-01
1.900000e+10 6.661759e-01 6.845821e-02 6.416292e-01 1.655770e-01
2.000000e+10 7.784021e-01 8.890260e-02 7.334007e-01 2.452135e-01
2.100000e+10 8.819885e-01 8.874096e-02 8.071896e-01 3.442000e-01
2.200000e+10 9.466554e-01 5.114777e-02 8.392299e-01 4.350099e-01
2.300000e+10 9.533768e-01 -1.942688e-02 8.235140e-01 4.799735e-01
2.400000e+10 9.067009e-01 -9.320701e-02 7.736339e-01 4.635832e-01
2.500000e+10 8.248691e-01 -1.417821e-01 7.056263e-01 4.029870e-01
2.600000e+10 7.281153e-01 -1.581878e-01 6.308422e-01 3.273630e-01
2.700000e+10 6.331010e-01 -1.515418e-01 5.580600e-01 2.577228e-01
2.800000e+10 5.499761e-01 -1.337850e-01 4.935516e-01 2.024403e-01
2.900000e+10 4.825858e-01 -1.130028e-01 4.403577e-01 1.618780e-01
3.000000e+10 4.308487e-01 -9.305509e-02 3.989583e-01 1.334301e-01
3.100000e+10 3.930746e-01 -7.516959e-02 3.685299e-01 1.142057e-01
3.200000e+10 3.673442e-01 -5.929282e-02 3.478974e-01 1.019488e-01
3.300000e+10 3.521241e-01 -4.482881e-02 3.360379e-01 9.518544e-02
3.400000e+10 3.464837e-01 -3.095143e-02 3.322880e-01 9.315398e-02
3.500000e+10 3.501620e-01 -1.668933e-02 3.364045e-01 9.574412e-02
3.600000e+10 3.636020e-01 -9.030486e-04 3.485517e-01 1.035245e-01
3.700000e+10 3.879871e-01 1.777224e-02 3.692138e-01 1.178953e-01
3.800000e+10 4.252305e-01 4.092799e-02 3.989443e-01 1.413837e-01
3.900000e+10 4.777156e-01 7.012120e-02 4.377251e-01 1.780223e-01
4.000000e+10 5.472863e-01 1.058668e-01 4.835443e-01 2.334510e-01
4.100000e+10 6.326150e-01 1.450715e-01 5.299378e-01 3.135633e-01
4.200000e+10 7.247303e-01 1.768235e-01 5.639288e-01 4.194661e-01
4.300000e+10 8.048038e-01 1.809081e-01 5.699309e-01 5.386651e-01
4.400000e+10 8.532523e-01 1.385221e-01 5.440048e-01 6.425806e-01
4.500000e+10 8.661670e-01 5.150546e-02 5.037178e-01 7.027524e-01
4.600000e+10 8.547264e-01 -5.511925e-02 4.734159e-01 7.095044e-01
4.700000e+10 8.279494e-01 -1.506028e-01 4.625203e-01 6.699956e-01
4.800000e+10 7.859905e-01 -2.135971e-01 4.630183e-01 5.981399e-01
4.900000e+10 7.282204e-01 -2.378656e-01 4.616192e-01 5.105220e-01
5.000000e+10 6.601240e-01 -2.306277e-01 4.509867e-01 4.233031e-01
5.100000e+10 5.911401e-01 -2.049815e-01 4.319336e-01 3.476528e-01
5.200000e+10 5.292573e-01 -1.723017e-01 4.092179e-01 2.880384e-01
5.300000e+10 4.786839e-01 -1.392943e-01 3.874381e-01 2.441865e-01
5.400000e+10 4.405889e-01 -1.086866e-01 3.695494e-01 2.138670e-01
5.500000e+10 4.146379e-01 -8.084258e-02 3.570443e-01 1.947010e-01
5.600000e+10 4.001329e-01 -5.496761e-02 3.505432e-01 1.849442e-01
5.700000e+10 3.966312e-01 -2.973450e-02 3.502493e-01 1.837324e-01
5.800000e+10 4.042308e-01 -3.533102e-03 3.561588e-01 1.911570e-01
5.900000e+10 4.236653e-01 2.544226e-02 3.680192e-01 2.083432e-01
6.000000e+10 4.562111e-01 5.906103e-02 3.849816e-01 2.375491e-01
6.100000e+10 5.032064e-01 9.878127e-02 4.048081e-01 2.821158e-01
6.200000e+10 5.647143e-01 1.443253e-01 4.225460e-01 3.457271e-01
6.300000e+10 6.368262e-01 1.909987e-01 4.292323e-01 4.299149e-01
6.400000e+10 7.085113e-01 2.265843e-01 4.130831e-01 5.291599e-01
6.500000e+10 7.628387e-01 2.327065e-01 3.669072e-01 6.270164e-01
6.600000e+10 7.876397e-01 1.958692e-01 2.987359e-01 7.019746e-01
6.700000e+10 7.867443e-01 1.195313e-01 2.311322e-01 7.424666e-01
6.800000e+10 7.754203e-01 2.111595e-02 1.858947e-01 7.525118e-01
6.900000e+10 7.658585e-01 -8.025255e-02 1.726042e-01 7.418265e-01
7.000000e+10 7.596579e-01 -1.695276e-01 1.890703e-01 7.159559e-01
7.100000e+10 7.500222e-01 -2.352719e-01 2.256236e-01 6.754809e-01
7.200000e+10 7.286542e-01 -2.702903e-01 2.689997e-01 6.209020e-01
7.300000e+10 6.925018e-01 -2.743152e-01 3.070449e-01 5.568064e-01
7.400000e+10 6.457324e-01 -2.542012e-01 3.331213e-01 4.913067e-01
7.500000e+10 5.962921e-01 -2.199027e-01 3.469632e-01 4.322310e-01
7.600000e+10 5.514241e-01 -1.798819e-01 3.520780e-01 3.843854e-01
7.700000e+10 5.156749e-01 -1.391414e-01 3.527113e-01 3.495068e-01
7.800000e+10 4.912093e-01 -9.957409e-02 3.522168e-01 3.275895e-01
7.900000e+10 4.788816e-01 -6.105161e-02 3.526597e-01 3.181688e-01
8.000000e+10 4.791271e-01 -2.234550e-02 3.549013e-01 3.211052e-01
8.100000e+10 4.924252e-01 1.825689e-02 3.586425e-01 3.369344e-01
8.200000e+10 5.192953e-01 6.242064e-02 3.621968e-01 3.668580e-01
8.300000e+10 5.597000e-01 1.109456e-01 3.619564e-01 4.122410e-01
8.400000e+10 6.116114e-01 1.622598e-01 3.518627e-01 4.732155e-01
8.500000e+10 6.688695e-01 2.102662e-01 3.239664e-01 5.460956e-01
8.600000e+10 7.200741e-01 2.432513e-01 2.719410e-01 6.207927e-01
8.700000e+10 7.521769e-01 2.475237e-01 1.975452e-01 6.822595e-01
8.800000e+10 7.591662e-01 2.162048e-01 1.139860e-01 7.187461e-01
8.900000e+10 7.472427e-01 1.546392e-01 3.956741e-02 7.299951e-01
9.000000e+10 7.295400e-01 7.559246e-02 -1.260813e-02 7.255036e-01
9.100000e+10 7.170759e-01 -8.940308e-03 -3.807189e-02 7.160087e-01
9.200000e+10 7.144029e-01 -9.080668e-02 -3.783998e-02 7.075972e-01
9.300000e+10 7.198611e-01 -1.641139e-01 -1.505663e-02 7.007424e-01
9.400000e+10 7.274960e-01 -2.230943e-01 2.583689e-02 6.919623e-01
9.500000e+10 7.297702e-01 -2.619560e-01 7.849205e-02 6.765963e-01
9.600000e+10 7.210297e-01 -2.769280e-01 1.347684e-01 6.519449e-01
9.700000e+10 7.003205e-01 -2.685121e-01 1.866721e-01 6.192766e-01
9.800000e+10 6.715327e-01 -2.414571e-01 2.288987e-01 5.833181e-01
9.900000e+10 6.409767e-01 -2.023094e-01 2.598415e-01 5.499131e-01
1.000000e+11 6.146517e-01 -1.567068e-01 2.805955e-01 5.239330e-01
1.010000e+11 5.968960e-01 -1.080878e-01 2.931913e-01 5.085673e-01
1.020000e+11 5.903449e-01 -5.779572e-02 2.991862e-01 5.056227e-01
1.030000e+11 5.963460e-01 -5.861582e-03 2.988623e-01 5.160189e-01
1.040000e+11 6.151466e-01 4.798038e-02 2.908289e-01 5.399276e-01
1.050000e+11 6.455116e-01 1.030813e-01 2.719489e-01 5.762840e-01
1.060000e+11 6.837726e-01 1.564532e-01 2.379202e-01 6.216601e-01
1.070000e+11 7.229495e-01 2.016565e-01 1.851912e-01 6.691000e-01
1.080000e+11 7.535593e-01 2.295104e-01 1.143142e-01 7.085964e-01
1.090000e+11 7.674938e-01 2.319492e-01 3.259599e-02 7.308788e-01
1.100000e+11 7.630099e-01 2.070424e-01 -4.759868e-02 7.328383e-01
1.110000e+11 7.458770e-01 1.602271e-01 -1.147582e-01 7.193680e-01
1.120000e+11 7.253664e-01 1.004649e-01 -1.628879e-01 6.996647e-01
1.130000e+11 7.093900e-01 3.567811e-02 -1.914019e-01 6.821485e-01
1.140000e+11 7.022922e-01 -2.897940e-02 -2.023047e-01 6.718983e-01
1.150000e+11 7.049306e-01 -9.037592e-02 -1.978170e-01 6.705429e-01
1.160000e+11 7.154539e-01 -1.459223e-01 -1.795302e-01 6.770155e-01
1.170000e+11 7.300665e-01 -1.925050e-01 -1.487703e-01 6.883359e-01
1.180000e+11 7.439507e-01 -2.263428e-01 -1.075362e-01 7.004767e-01
1.190000e+11 7.526586e-01 -2.438666e-01 -5.929661e-02 7.095830e-01
1.200000e+11 7.537342e-01 -2.431379e-01 -8.970527e-03 7.133854e-01
1.210000e+11 7.476985e-01 -2.247845e-01 3.806911e-02 7.120925e-01
1.220000e+11 7.377037e-01 -1.916950e-01 7.730253e-02 7.081555e-01
1.230000e+11 7.281401e-01 -1.477553e-01 1.057559e-01 7.051043e-01
1.240000e+11 7.231223e-01 -9.660907e-02 1.217716e-01 7.062182e-01
1.250000e+11 7.254761e-01 -4.116069e-02 1.242734e-01 7.135667e-01
1.260000e+11 7.362011e-01 1.609965e-02 1.121495e-01 7.274306e-01
1.270000e+11 7.541237e-01 7.226334e-02 8.421381e-02 7.459146e-01
1.280000e+11 7.756971e-01 1.231639e-01 3.997835e-02 7.648126e-01
1.290000e+11 7.953814e-01 1.632313e-01 -1.891148e-02 7.782220e-01
1.300000e+11 8.072163e-01 1.867124e-01 -8.746376e-02 7.804401e-01
