# #nu(Hz) #T #rho #c #s
0.000000e+00 1.000000e+00 -2.220446e-16 1.000000e+00 0.000000e+00
1.000000e+09 4.839057e-01 -3.039907e-02 4.813645e-01 3.910038e-02
2.000000e+09 3.225039e-01 -1.033272e-02 3.209900e-01 2.945171e-02
3.000000e+09 4.999898e-01 4.490466e-02 4.889132e-01 9.453720e-02
4.000000e+09 9.563964e-01 -9.360366e-03 8.268232e-01 4.805932e-01
5.000000e+09 5.047504e-01 -1.020773e-01 4.642939e-01 1.696598e-01
6.000000e+09 3.460619e-01 -8.872196e-03 3.322329e-01 9.644369e-02
7.000000e+09 5.533062e-01 1.260660e-01 4.765203e-01 2.513633e-01
8.000000e+09 8.610492e-01 -2.745407e-02 4.752916e-01 7.174607e-01
9.000000e+09 5.560863e-01 -1.702929e-01 4.267163e-01 3.132818e-01
1.000000e+10 3.962607e-01 -5.016829e-03 3.481007e-01 1.892703e-01
1.100000e+10 6.320568e-01 2.040922e-01 4.104442e-01 4.351756e-01
1.200000e+10 7.715816e-01 -4.156782e-02 1.657976e-01 7.524105e-01
1.300000e+10 6.247269e-01 -2.251878e-01 3.453009e-01 4.694054e-01
1.400000e+10 4.778583e-01 2.914404e-03 3.481373e-01 3.273233e-01
1.500000e+10 7.073754e-01 2.509744e-01 2.575849e-01 6.091320e-01
1.600000e+10 7.175101e-01 -4.897742e-02 -5.267517e-02 7.138959e-01
1.700000e+10 6.942661e-01 -2.494040e-01 2.012111e-01 6.158873e-01
1.800000e+10 5.923427e-01 1.576653e-02 2.864312e-01 5.182456e-01
1.900000e+10 7.567691e-01 2.431274e-01 3.272565e-02 7.159033e-01
2.000000e+10 7.051028e-01 -5.081999e-02 -2.167270e-01 6.690416e-01
2.100000e+10 7.574799e-01 -2.324394e-01 -5.823622e-03 7.209117e-01
2.200000e+10 7.278405e-01 2.924335e-02 9.926942e-02 7.204458e-01
2.300000e+10 7.918401e-01 1.911850e-01 -2.146566e-01 7.378222e-01
2.400000e+10 7.323587e-01 -4.735165e-02 -3.693812e-01 6.306065e-01
2.500000e+10 8.196829e-01 -1.803141e-01 -2.617447e-01 7.555505e-01
2.600000e+10 8.537482e-01 3.247818e-02 -2.259306e-01 8.226704e-01
2.700000e+10 8.370096e-01 1.233699e-01 -4.578550e-01 6.897346e-01
2.800000e+10 7.935674e-01 -3.801371e-02 -5.397734e-01 5.804730e-01
2.900000e+10 8.838727e-01 -1.123369e-01 -5.393509e-01 6.911671e-01
3.000000e+10 9.399463e-01 2.065404e-02 -5.859213e-01 7.346895e-01
3.100000e+10 8.992847e-01 6.187141e-02 -6.905193e-01 5.727721e-01
3.200000e+10 8.755455e-01 -2.424073e-02 -7.323376e-01 4.792431e-01
3.300000e+10 9.397088e-01 -5.370735e-02 -7.864676e-01 5.115045e-01
3.400000e+10 9.820954e-01 4.542113e-03 -8.516541e-01 4.890562e-01
3.500000e+10 9.628963e-01 2.024175e-02 -8.883984e-01 3.708207e-01
3.600000e+10 9.528616e-01 -1.167407e-02 -9.088863e-01 2.858928e-01
3.700000e+10 9.747816e-01 -2.097705e-02 -9.444133e-01 2.405053e-01
3.800000e+10 9.936504e-01 -5.196186e-03 -9.778983e-01 1.761504e-01
3.900000e+10 9.983187e-01 1.623643e-03 -9.943640e-01 8.875695e-02
4.000000e+10 9.953570e-01 -3.697351e-03 -9.953437e-01 3.579246e-03
4.100000e+10 9.891728e-01 -1.053722e-02 -9.863953e-01 -7.332147e-02
4.200000e+10 9.834579e-01 -1.343787e-02 -9.730563e-01 -1.420222e-01
4.300000e+10 9.819330e-01 -3.213479e-03 -9.590485e-01 -2.107326e-01
4.400000e+10 9.892096e-01 9.814889e-03 -9.422259e-01 -3.010807e-01
4.500000e+10 9.867232e-01 -9.519172e-03 -9.054038e-01 -3.921427e-01
4.600000e+10 9.500054e-01 -3.663798e-02 -8.500799e-01 -4.225306e-01
4.700000e+10 9.175481e-01 -4.441325e-03 -8.045449e-01 -4.411148e-01
