# #nu(Hz) #T #rho #c #s
0.000000e+00 1.000000e+00 0.000000e+00 1.000000e+00 0.000000e+00
1.000000e+09 9.572015e-01 -8.853567e-03 9.562347e-01 4.209037e-02
2.000000e+09 8.516403e-01 -2.717401e-02 8.486936e-01 6.535959e-02
3.000000e+09 7.267153e-01 -4.220962e-02 7.221921e-01 6.908044e-02
4.000000e+09 6.125125e-01 -4.942325e-02 6.073041e-01 6.253555e-02
5.000000e+09 5.201028e-01 -5.046400e-02 5.148988e-01 5.328709e-02
6.000000e+09 4.498883e-01 -4.811049e-02 4.450574e-01 4.481894e-02
7.000000e+09 3.986359e-01 -4.430189e-02 3.943241e-01 3.816331e-02
8.000000e+09 3.627439e-01 -4.004378e-02 3.589786e-01 3.337607e-02
9.000000e+09 3.393263e-01 -3.573205e-02 3.360803e-01 3.025807e-02
1.000000e+10 3.264273e-01 -3.141233e-02 3.236479e-01 2.863701e-02
1.100000e+10 3.229790e-01 -2.691584e-02 3.205934e-01 2.847466e-02
1.200000e+10 3.287367e-01 -2.190333e-02 3.266375e-01 2.993247e-02
1.300000e+10 3.442691e-01 -1.584698e-02 3.422723e-01 3.346337e-02
1.400000e+10 3.710180e-01 -7.970569e-03 3.687711e-01 3.998330e-02
1.500000e+10 4.113895e-01 2.819363e-03 4.081826e-01 5.118921e-02
1.600000e+10 4.687269e-01 1.790178e-02 4.631094e-01 7.010077e-02
1.700000e+10 5.466919e-01 3.846138e-02 5.357522e-01 1.017957e-01
1.800000e+10 6.469084e-01 6.370417e-02 6.251518e-01 1.536797e-01
1.900000e+10 7.632008e-01 8.667861e-02 7.216767e-01 2.326907e-01
2.000000e+10 8.739569e-01 8.998718e-02 8.022292e-01 3.348601e-01
2.100000e+10 9.450367e-01 5.357541e-02 8.390140e-01 4.316010e-01
2.200000e+10 9.533083e-01 -1.961377e-02 8.234332e-01 4.799685e-01
2.300000e+10 9.033597e-01 -9.631983e-02 7.705551e-01 4.615473e-01
2.400000e+10 8.161125e-01 -1.447727e-01 6.985910e-01 3.962968e-01
2.500000e+10 7.144885e-01 -1.586056e-01 6.202604e-01 3.171989e-01
2.600000e+10 6.167092e-01 -1.491076e-01 5.452715e-01 2.465283e-01
2.700000e+10 5.330912e-01 -1.294127e-01 4.801757e-01 1.920152e-01
2.800000e+10 4.668836e-01 -1.076789e-01 4.277375e-01 1.530561e-01
2.900000e+10 4.173510e-01 -8.741010e-02 3.880144e-01 1.264364e-01
3.000000e+10 3.823855e-01 -6.946739e-02 3.598700e-01 1.090252e-01
3.100000e+10 3.599048e-01 -5.352301e-02 3.419856e-01 9.855277e-02
3.200000e+10 3.484123e-01 -3.877395e-02 3.333397e-01 9.366075e-02
3.300000e+10 3.471728e-01 -2.420262e-02 3.333826e-01 9.380400e-02
3.400000e+10 3.562699e-01 -8.613490e-03 3.420675e-01 9.921639e-02
3.500000e+10 3.766515e-01 9.425120e-03 3.597955e-01 1.110168e-01
3.600000e+10 4.101582e-01 3.163282e-02 3.872189e-01 1.314940e-01
3.700000e+10 4.593753e-01 5.987330e-02 4.246909e-01 1.645555e-01
3.800000e+10 5.268209e-01 9.533930e-02 4.709173e-01 2.160730e-01
3.900000e+10 6.124481e-01 1.361001e-01 5.202965e-01 2.930205e-01
4.000000e+10 7.085943e-01 1.722873e-01 5.598315e-01 3.987627e-01
4.100000e+10 7.957686e-01 1.826156e-01 5.714622e-01 5.228098e-01
4.200000e+10 8.506315e-01 1.441185e-01 5.475220e-01 6.348414e-01
4.300000e+10 8.662424e-01 5.565921e-02 5.055124e-01 7.012383e-01
4.400000e+10 8.545883e-01 -5.562226e-02 4.733592e-01 7.093367e-01
4.500000e+10 8.261264e-01 -1.547029e-01 4.622811e-01 6.669693e-01
4.600000e+10 7.810183e-01 -2.176809e-01 4.629611e-01 5.901455e-01
4.700000e+10 7.189891e-01 -2.386752e-01 4.605335e-01 4.978839e-01
4.800000e+10 6.470493e-01 -2.271208e-01 4.477828e-01 4.081414e-01
4.900000e+10 5.759880e-01 -1.980283e-01 4.266805e-01 3.324015e-01
5.000000e+10 5.140716e-01 -1.633471e-01 4.028486e-01 2.744091e-01
5.100000e+10 4.650910e-01 -1.294473e-01 3.811019e-01 2.330545e-01
5.200000e+10 4.297191e-01 -9.847977e-02 3.642597e-01 2.056092e-01
5.300000e+10 4.073340e-01 -7.030320e-02 3.536198e-01 1.895561e-01
5.400000e+10 3.972032e-01 -4.372490e-02 3.496663e-01 1.832814e-01
5.500000e+10 3.990700e-01 -1.707121e-02 3.525198e-01 1.862666e-01
5.600000e+10 4.133959e-01 1.161475e-02 3.620654e-01 1.991730e-01
5.700000e+10 4.413785e-01 4.446743e-02 3.777295e-01 2.239601e-01
5.800000e+10 4.846245e-01 8.345999e-02 3.977730e-01 2.639545e-01
5.900000e+10 5.440129e-01 1.292823e-01 4.179093e-01 3.234006e-01
6.000000e+10 6.169980e-01 1.786600e-01 4.295031e-01 4.053322e-01
6.100000e+10 6.935486e-01 2.203331e-01 4.195697e-01 5.063836e-01
6.200000e+10 7.553485e-01 2.343879e-01 3.775359e-01 6.108030e-01
6.300000e+10 7.862375e-01 2.030799e-01 3.085433e-01 6.940670e-01
6.400000e+10 7.875379e-01 1.270712e-01 2.365440e-01 7.403485e-01
6.500000e+10 7.758853e-01 2.506689e-02 1.872935e-01 7.525229e-01
6.600000e+10 7.657401e-01 -8.094505e-02 1.727305e-01 7.415996e-01
6.700000e+10 7.591935e-01 -1.736738e-01 1.905931e-01 7.140634e-01
6.800000e+10 7.484218e-01 -2.401900e-01 2.297015e-01 6.705827e-01
6.900000e+10 7.242614e-01 -2.728125e-01 2.748717e-01 6.120241e-01
7.000000e+10 6.842394e-01 -2.722953e-01 3.128285e-01 5.442216e-01
7.100000e+10 6.341240e-01 -2.473727e-01 3.372559e-01 4.766324e-01
7.200000e+10 5.831094e-01 -2.093477e-01 3.490179e-01 4.175843e-01
7.300000e+10 5.387459e-01 -1.669377e-01 3.525674e-01 3.715848e-01
7.400000e+10 5.053146e-01 -1.246914e-01 3.525431e-01 3.398651e-01
7.500000e+10 4.846498e-01 -8.384895e-02 3.522708e-01 3.221181e-01
7.600000e+10 4.774597e-01 -4.368119e-02 3.535569e-01 3.178950e-01
7.700000e+10 4.842369e-01 -2.477493e-03 3.568158e-01 3.273557e-01
7.800000e+10 5.055893e-01 4.177125e-02 3.609931e-01 3.515106e-01
7.900000e+10 5.419054e-01 9.059075e-02 3.630840e-01 3.919499e-01
8.000000e+10 5.920832e-01 1.435890e-01 3.573865e-01 4.496883e-01
8.100000e+10 6.511397e-01 1.960252e-01 3.354075e-01 5.225504e-01
8.200000e+10 7.079545e-01 2.365622e-01 2.886373e-01 6.016032e-01
8.300000e+10 7.473855e-01 2.494266e-01 2.157284e-01 6.706957e-01
8.400000e+10 7.597666e-01 2.240114e-01 1.287673e-01 7.144811e-01
8.500000e+10 7.494944e-01 1.637090e-01 4.840208e-02 7.297934e-01
8.600000e+10 7.309714e-01 8.238065e-02 -9.009944e-03 7.262585e-01
8.700000e+10 7.173579e-01 -5.902394e-03 -3.736703e-02 7.163597e-01
8.800000e+10 7.143440e-01 -9.154850e-02 -3.754798e-02 7.074577e-01
8.900000e+10 7.201567e-01 -1.677821e-01 -1.312774e-02 7.002161e-01
9.000000e+10 7.279304e-01 -2.280135e-01 3.074741e-02 6.906136e-01
9.100000e+10 7.291287e-01 -2.657428e-01 8.664694e-02 6.734254e-01
9.200000e+10 7.178529e-01 -2.771831e-01 1.451802e-01 6.460689e-01
9.300000e+10 6.940070e-01 -2.637959e-01 1.975935e-01 6.107489e-01
9.400000e+10 6.628540e-01 -2.316747e-01 2.387234e-01 5.733354e-01
9.500000e+10 6.317183e-01 -1.882341e-01 2.676782e-01 5.403557e-01
9.600000e+10 6.069440e-01 -1.392090e-01 2.862109e-01 5.168029e-01
9.700000e+10 5.927753e-01 -8.763171e-02 2.965768e-01 5.057127e-01
9.800000e+10 5.916003e-01 -3.433425e-02 3.000486e-01 5.087071e-01
9.900000e+10 6.044193e-01 2.093521e-02 2.961387e-01 5.264848e-01
1.000000e+11 6.307897e-01 7.814642e-02 2.822676e-01 5.586714e-01
1.010000e+11 6.679719e-01 1.353263e-01 2.539907e-01 6.027952e-01
1.020000e+11 7.096375e-01 1.868488e-01 2.065211e-01 6.527035e-01
1.030000e+11 7.457311e-01 2.231129e-01 1.382641e-01 6.980105e-01
1.040000e+11 7.658464e-01 2.338588e-01 5.490997e-02 7.271971e-01
1.050000e+11 7.655115e-01 2.144716e-01 -3.056120e-02 7.342179e-01
1.060000e+11 7.494567e-01 1.693321e-01 -1.041555e-01 7.226090e-01
1.070000e+11 7.279265e-01 1.083107e-01 -1.576251e-01 7.023532e-01
1.080000e+11 7.104185e-01 4.084131e-02 -1.895138e-01 6.834552e-01
1.090000e+11 7.023529e-01 -2.684868e-02 -2.019315e-01 6.721625e-01
1.100000e+11 7.049327e-01 -9.107132e-02 -1.974436e-01 6.705611e-01
1.110000e+11 7.160893e-01 -1.488605e-01 -1.778922e-01 6.774798e-01
1.120000e+11 7.314463e-01 -1.966373e-01 -1.448181e-01 6.894745e-01
1.130000e+11 7.454939e-01 -2.300742e-01 -1.006215e-01 7.019275e-01
1.140000e+11 7.533609e-01 -2.452607e-01 -4.948653e-02 7.105989e-01
1.150000e+11 7.527812e-01 -2.404440e-01 2.802499e-03 7.133431e-01
1.160000e+11 7.450626e-01 -2.169567e-01 5.022653e-02 7.110031e-01
1.170000e+11 7.343194e-01 -1.785219e-01 8.805672e-02 7.068245e-01
1.180000e+11 7.256092e-01 -1.295919e-01 1.134120e-01 7.048776e-01
1.190000e+11 7.232031e-01 -7.403996e-02 1.247158e-01 7.085103e-01
1.200000e+11 7.295557e-01 -1.491812e-02 1.207651e-01 7.193363e-01
1.210000e+11 7.447552e-01 4.483498e-02 1.002012e-01 7.366205e-01
1.220000e+11 7.661448e-01 1.012739e-01 6.189638e-02 7.568952e-01
1.230000e+11 7.883390e-01 1.487155e-01 6.384223e-03 7.741584e-01
1.240000e+11 8.044364e-01 1.804115e-01 -6.231946e-02 7.814639e-01
1.250000e+11 8.088347e-01 1.910375e-01 -1.362200e-01 7.740558e-01
1.260000e+11 8.002299e-01 1.795287e-01 -2.056095e-01 7.522380e-01
1.270000e+11 7.822557e-01 1.496696e-01 -2.629091e-01 7.213888e-01
1.280000e+11 7.612159e-01 1.078605e-01 -3.049615e-01 6.890676e-01
1.290000e+11 7.430924e-01 6.024172e-02 -3.324331e-01 6.618500e-01
1.300000e+11 7.318610e-01 1.121425e-02 -3.477483e-01 6.438679e-01
1.310000e+11 7.292558e-01 -3.649328e-02 -3.533429e-01 6.368917e-01
1.320000e+11 7.351744e-01 -8.104153e-02 -3.508611e-01 6.409448e-01
1.330000e+11 7.481328e-01 -1.206741e-01 -3.411215e-01 6.548103e-01
1.340000e+11 7.656480e-01 -1.532248e-01 -3.245462e-01 6.763201e-01
1.350000e+11 7.846952e-01 -1.760863e-01 -3.018158e-01 7.026005e-01
1.360000e+11 8.023811e-01 -1.866695e-01 -2.745111e-01 7.304886e-01
1.370000e+11 8.167505e-01 -1.831757e-01 -2.454476e-01 7.571549e-01
1.380000e+11 8.273723e-01 -1.652882e-01 -2.184871e-01 7.806972e-01
1.390000e+11 8.353174e-01 -1.343994e-01 -1.978881e-01 8.003326e-01
1.400000e+11 8.424639e-01 -9.333195e-02 -1.875161e-01 8.160100e-01
1.410000e+11 8.504502e-01 -4.586699e-02 -1.902007e-01 8.276385e-01
1.420000e+11 8.597355e-01 3.586812e-03 -2.072696e-01 8.343689e-01
1.430000e+11 8.691384e-01 5.016870e-02 -2.381402e-01 8.343703e-01
1.440000e+11 8.760959e-01 8.889706e-02 -2.800152e-01 8.253683e-01
1.450000e+11 8.776925e-01 1.154645e-01 -3.280490e-01 8.058511e-01
1.460000e+11 8.720900e-01 1.273533e-01 -3.763633e-01 7.763200e-01
1.470000e+11 8.595536e-01 1.245895e-01 -4.197071e-01 7.396998e-01
1.480000e+11 8.424134e-01 1.095180e-01 -4.548751e-01 7.005390e-01
1.490000e+11 8.240881e-01 8.572564e-02 -4.810914e-01 6.635687e-01
1.500000e+11 8.079131e-01 5.684434e-02 -4.993846e-01 6.325403e-01
1.510000e+11 7.963857e-01 2.583223e-02 -5.115880e-01 6.097874e-01
1.520000e+11 7.909366e-01 -5.170043e-03 -5.195315e-01 5.963564e-01
1.530000e+11 7.920204e-01 -3.463029e-02 -5.246200e-01 5.923436e-01
1.540000e+11 7.993095e-01 -6.131266e-02 -5.277357e-01 5.971863e-01
1.550000e+11 8.118806e-01 -8.402074e-02 -5.293419e-01 6.098261e-01
1.560000e+11 8.283873e-01 -1.014746e-01 -5.296950e-01 6.287699e-01
1.570000e+11 8.472494e-01 -1.123534e-01 -5.291002e-01 6.521205e-01
1.580000e+11 8.668783e-01 -1.154981e-01 -5.281436e-01 6.776449e-01
1.590000e+11 8.859072e-01 -1.102164e-01 -5.278210e-01 7.029145e-01
1.600000e+11 9.033449e-01 -9.658985e-02 -5.294865e-01 7.254974e-01
1.610000e+11 9.185788e-01 -7.566547e-02 -5.345955e-01 7.431483e-01
1.620000e+11 9.312150e-01 -4.945844e-02 -5.443001e-01 7.539579e-01
1.630000e+11 9.408540e-01 -2.074987e-02 -5.590298e-01 7.564796e-01
1.640000e+11 9.469563e-01 7.290876e-03 -5.782243e-01 7.498865e-01
1.650000e+11 9.489169e-01 3.160560e-02 -6.003563e-01 7.341776e-01
1.660000e+11 9.463396e-01 4.977472e-02 -6.232867e-01 7.103484e-01
1.670000e+11 9.393579e-01 6.042650e-02 -6.448478e-01 6.803773e-01
1.680000e+11 9.288014e-01 6.337977e-02 -6.634197e-01 6.469384e-01
1.690000e+11 9.160993e-01 5.947312e-02 -6.782632e-01 6.129111e-01
1.700000e+11 9.029804e-01 5.018094e-02 -6.895155e-01 5.808820e-01
1.710000e+11 8.911224e-01 3.719634e-02 -6.979341e-01 5.528143e-01
1.720000e+11 8.818882e-01 2.212436e-02 -7.045568e-01 5.299406e-01
1.730000e+11 8.761962e-01 6.332727e-03 -7.104154e-01 5.128252e-01
1.740000e+11 8.745038e-01 -9.070263e-03 -7.163610e-01 5.014993e-01
1.750000e+11 8.768538e-01 -2.319062e-02 -7.229928e-01 4.955968e-01
1.760000e+11 8.829471e-01 -3.528968e-02 -7.306612e-01 4.944535e-01
1.770000e+11 8.922191e-01 -4.474605e-02 -7.395100e-01 4.971695e-01
1.780000e+11 9.039161e-01 -5.105449e-02 -7.495348e-01 5.026484e-01
1.790000e+11 9.171701e-01 -5.386244e-02 -7.606388e-01 5.096356e-01
1.800000e+11 9.310713e-01 -5.303183e-02 -7.726745e-01 5.167740e-01
1.810000e+11 9.447346e-01 -4.870363e-02 -7.854599e-01 5.226893e-01
1.820000e+11 9.573545e-01 -4.133737e-02 -7.987715e-01 5.261016e-01
1.830000e+11 9.682462e-01 -3.170117e-02 -8.123226e-01 5.259541e-01
1.840000e+11 9.768770e-01 -2.080033e-02 -8.257470e-01 5.215341e-01
1.850000e+11 9.828943e-01 -9.750878e-03 -8.386096e-01 5.125622e-01
1.860000e+11 9.861533e-01 3.764426e-04 -8.504549e-01 4.992241e-01
1.870000e+11 9.867372e-01 8.704759e-03 -8.608852e-01 4.821318e-01
1.880000e+11 9.849573e-01 1.465636e-02 -8.696438e-01 4.622181e-01
1.890000e+11 9.813222e-01 1.799293e-02 -8.766720e-01 4.405855e-01
1.900000e+11 9.764746e-01 1.879051e-02 -8.821199e-01 4.183466e-01
1.910000e+11 9.711084e-01 1.736790e-02 -8.863108e-01 3.964884e-01
1.920000e+11 9.658845e-01 1.419564e-02 -8.896730e-01 3.757835e-01
1.930000e+11 9.613622e-01 9.810011e-03 -8.926639e-01 3.567523e-01
1.940000e+11 9.579560e-01 4.746203e-03 -8.957031e-01 3.396662e-01
1.950000e+11 9.559175e-01 -5.057140e-04 -8.991259e-01 3.245777e-01
1.960000e+11 9.553406e-01 -5.525549e-03 -9.031602e-01 3.113626e-01
1.970000e+11 9.561803e-01 -9.974881e-03 -9.079220e-01 2.997648e-01
1.980000e+11 9.582819e-01 -1.360189e-02 -9.134247e-01 2.894381e-01
1.990000e+11 9.614128e-01 -1.624276e-02 -9.195974e-01 2.799845e-01
2.000000e+11 9.652958e-01 -1.782096e-02 -9.263062e-01 2.709894e-01
2.010000e+11 9.696394e-01 -1.834375e-02 -9.333770e-01 2.620523e-01
2.020000e+11 9.741640e-01 -1.789477e-02 -9.406167e-01 2.528152e-01
2.030000e+11 9.786222e-01 -1.662159e-02 -9.478309e-01 2.429852e-01
2.040000e+11 9.828130e-01 -1.471829e-02 -9.548393e-01 2.323507e-01
2.050000e+11 9.865893e-01 -1.240437e-02 -9.614867e-01 2.207891e-01
2.060000e+11 9.898588e-01 -9.902482e-03 -9.676507e-01 2.082654e-01
2.070000e+11 9.925809e-01 -7.417775e-03 -9.732451e-01 1.948224e-01
2.080000e+11 9.947580e-01 -5.121507e-03 -9.782197e-01 1.805641e-01
2.090000e+11 9.964252e-01 -3.140688e-03 -9.825570e-01 1.656353e-01
2.100000e+11 9.976389e-01 -1.554264e-03 -9.862661e-01 1.502007e-01
2.110000e+11 9.984654e-01 -3.952952e-04 -9.893749e-01 1.344251e-01
2.120000e+11 9.989711e-01 3.422125e-04 -9.919227e-01 1.184592e-01
2.130000e+11 9.992162e-01 6.935809e-04 -9.939522e-01 1.024287e-01
2.140000e+11 9.992496e-01 7.125739e-04 -9.955045e-01 8.643018e-02
2.150000e+11 9.991083e-01 4.608666e-04 -9.966156e-01 7.053030e-02
2.160000e+11 9.988174e-01 -9.798169e-07 -9.973146e-01 5.476949e-02
2.170000e+11 9.983931e-01 -6.202653e-04 -9.976243e-01 3.916768e-02
2.180000e+11 9.978447e-01 -1.356204e-03 -9.975615e-01 2.373151e-02
2.190000e+11 9.971775e-01 -2.181179e-03 -9.971392e-01 8.461660e-03
2.200000e+11 9.963945e-01 -3.079379e-03 -9.963676e-01 -6.640475e-03
2.210000e+11 9.954974e-01 -4.043229e-03 -9.952555e-01 -2.156757e-02
2.220000e+11 9.944866e-01 -5.068247e-03 -9.938108e-01 -3.630320e-02
2.230000e+11 9.933616e-01 -6.147099e-03 -9.920417e-01 -5.082110e-02
2.240000e+11 9.921212e-01 -7.263706e-03 -9.899573e-01 -6.508690e-02
2.250000e+11 9.907648e-01 -8.388312e-03 -9.875695e-01 -7.906246e-02
2.260000e+11 9.892941e-01 -9.474331e-03 -9.848947e-01 -9.271230e-02
2.270000e+11 9.877173e-01 -1.045767e-02 -9.819561e-01 -1.060116e-01
2.280000e+11 9.860529e-01 -1.125898e-02 -9.787866e-01 -1.189551e-01
2.290000e+11 9.843341e-01 -1.178892e-02 -9.754308e-01 -1.315650e-01
2.300000e+11 9.826134e-01 -1.195620e-02 -9.719462e-01 -1.438983e-01
2.310000e+11 9.809641e-01 -1.167767e-02 -9.684021e-01 -1.560503e-01
2.320000e+11 9.794804e-01 -1.088954e-02 -9.648768e-01 -1.681547e-01
2.330000e+11 9.782728e-01 -9.558455e-03 -9.614518e-01 -1.803797e-01
2.340000e+11 9.774598e-01 -7.691453e-03 -9.582020e-01 -1.929185e-01
2.350000e+11 9.771553e-01 -5.343802e-03 -9.551848e-01 -2.059758e-01
2.360000e+11 9.774523e-01 -2.624072e-03 -9.524264e-01 -2.197500e-01
2.370000e+11 9.784042e-01 3.041048e-04 -9.499085e-01 -2.344112e-01
2.380000e+11 9.800061e-01 3.224206e-03 -9.475564e-01 -2.500766e-01
2.390000e+11 9.821784e-01 5.873919e-03 -9.452333e-01 -2.667841e-01
2.400000e+11 9.847562e-01 7.958611e-03 -9.427407e-01 -2.844668e-01
2.410000e+11 9.874880e-01 9.172809e-03 -9.398304e-01 -3.029309e-01
2.420000e+11 9.900454e-01 9.230839e-03 -9.362270e-01 -3.218440e-01
2.430000e+11 9.920474e-01 7.906009e-03 -9.316615e-01 -3.407380e-01
