# #nu(Hz) #T #rho #c #s
0.000000e+00 1.000000e+00 -2.220446e-16 1.000000e+00 0.000000e+00
1.000000e+09 9.573499e-01 -8.342817e-03 9.564698e-01 4.018307e-02
2.000000e+09 8.520243e-01 -2.561191e-02 8.493412e-01 6.252161e-02
3.000000e+09 7.271793e-01 -3.977570e-02 7.230605e-01 6.626651e-02
4.000000e+09 6.129115e-01 -4.653423e-02 6.081706e-01 6.019607e-02
5.000000e+09 5.203863e-01 -4.743956e-02 5.156534e-01 5.150680e-02
6.000000e+09 4.500623e-01 -4.512013e-02 4.456735e-01 4.353531e-02
7.000000e+09 3.987227e-01 -4.141059e-02 3.948099e-01 3.728389e-02
8.000000e+09 3.627642e-01 -3.725948e-02 3.593499e-01 3.282110e-02
9.000000e+09 3.392947e-01 -3.303529e-02 3.363500e-01 2.997055e-02
1.000000e+10 3.263517e-01 -2.877194e-02 3.238220e-01 2.858219e-02
1.100000e+10 3.228609e-01 -2.429686e-02 3.206692e-01 2.863734e-02
1.200000e+10 3.285708e-01 -1.927145e-02 3.266013e-01 3.031482e-02
1.300000e+10 3.440416e-01 -1.317267e-02 3.420956e-01 3.408354e-02
1.400000e+10 3.707018e-01 -5.235560e-03 3.684043e-01 4.087347e-02
1.500000e+10 4.109366e-01 5.609857e-03 4.075447e-01 5.238967e-02
1.600000e+10 4.680559e-01 2.069751e-02 4.620773e-01 7.164158e-02
1.700000e+10 5.456788e-01 4.113736e-02 5.341627e-01 1.036497e-01
1.800000e+10 6.454125e-01 6.604925e-02 6.228652e-01 1.556721e-01
1.900000e+10 7.612164e-01 8.848760e-02 7.187969e-01 2.344171e-01
2.000000e+10 8.719337e-01 9.132660e-02 7.994587e-01 3.358477e-01
2.100000e+10 9.439545e-01 5.490265e-02 8.375842e-01 4.318431e-01
2.200000e+10 9.539073e-01 -1.793816e-02 8.241341e-01 4.800212e-01
2.300000e+10 9.053947e-01 -9.436399e-02 7.730566e-01 4.617558e-01
2.400000e+10 8.187120e-01 -1.426622e-01 7.019300e-01 3.965237e-01
2.500000e+10 7.168963e-01 -1.563352e-01 6.235699e-01 3.172700e-01
2.600000e+10 6.185880e-01 -1.466749e-01 5.480868e-01 2.464515e-01
2.700000e+10 5.344171e-01 -1.268732e-01 4.823733e-01 1.918875e-01
2.800000e+10 4.677579e-01 -1.051032e-01 4.293636e-01 1.529630e-01
2.900000e+10 4.178882e-01 -8.484869e-02 3.891626e-01 1.264268e-01
3.000000e+10 3.826741e-01 -6.694430e-02 3.606253e-01 1.091207e-01
3.100000e+10 3.600020e-01 -5.104271e-02 3.424067e-01 9.876117e-02
3.200000e+10 3.483474e-01 -3.633060e-02 3.334561e-01 9.398393e-02
3.300000e+10 3.469509e-01 -2.178836e-02 3.331948e-01 9.424104e-02
3.400000e+10 3.558716e-01 -6.226359e-03 3.415456e-01 9.976164e-02
3.500000e+10 3.760280e-01 1.177182e-02 3.588765e-01 1.116520e-01
3.600000e+10 4.092224e-01 3.389832e-02 3.858040e-01 1.321709e-01
3.700000e+10 4.579916e-01 6.197667e-02 4.226542e-01 1.651625e-01
3.800000e+10 5.248150e-01 9.716315e-02 4.681528e-01 2.163863e-01
3.900000e+10 6.096910e-01 1.375622e-01 5.168542e-01 2.926798e-01
4.000000e+10 7.052433e-01 1.735533e-01 5.561529e-01 3.974183e-01
4.100000e+10 7.925501e-01 1.843284e-01 5.684407e-01 5.206091e-01
4.200000e+10 8.485950e-01 1.470673e-01 5.459079e-01 6.328265e-01
4.300000e+10 8.659216e-01 5.985704e-02 5.052121e-01 7.007126e-01
4.400000e+10 8.558013e-01 -5.109728e-02 4.738412e-01 7.108160e-01
4.500000e+10 8.284822e-01 -1.508587e-01 4.633225e-01 6.700423e-01
4.600000e+10 7.840832e-01 -2.149169e-01 4.645951e-01 5.939264e-01
4.700000e+10 7.222172e-01 -2.367447e-01 4.626425e-01 5.015092e-01
4.800000e+10 6.499360e-01 -2.255414e-01 4.500289e-01 4.111227e-01
4.900000e+10 5.782644e-01 -1.964527e-01 4.287211e-01 3.346555e-01
5.000000e+10 5.157007e-01 -1.616422e-01 4.044814e-01 2.760685e-01
5.100000e+10 4.661522e-01 -1.276109e-01 3.822554e-01 2.342950e-01
5.200000e+10 4.303129e-01 -9.655651e-02 3.649303e-01 2.065719e-01
5.300000e+10 4.075371e-01 -6.834486e-02 3.538214e-01 1.903309e-01
5.400000e+10 3.970533e-01 -4.178145e-02 3.494029e-01 1.839111e-01
5.500000e+10 3.985617e-01 -1.519615e-02 3.517745e-01 1.867490e-01
5.600000e+10 4.124770e-01 1.335355e-02 3.607998e-01 1.994555e-01
5.700000e+10 4.399466e-01 4.597729e-02 3.758964e-01 2.239219e-01
5.800000e+10 4.825337e-01 8.462535e-02 3.953570e-01 2.633823e-01
5.900000e+10 5.411252e-01 1.300111e-01 4.150184e-01 3.219833e-01
6.000000e+10 6.133371e-01 1.790332e-01 4.265163e-01 4.027573e-01
