# #nu(Hz) #T #rho #c #s
0.000000e+00 1.000000e+00 0.000000e+00 1.000000e+00 0.000000e+00
1.000000e+09 9.626695e-01 3.799858e-03 9.626331e-01 -7.451188e-03
2.000000e+09 8.679771e-01 1.231959e-02 8.678310e-01 -1.009056e-02
3.000000e+09 7.511415e-01 2.064209e-02 7.508187e-01 -7.667456e-03
4.000000e+09 6.398386e-01 2.638954e-02 6.392885e-01 -2.696985e-03
5.000000e+09 5.465669e-01 2.969806e-02 5.457528e-01 2.703597e-03
6.000000e+09 4.735675e-01 3.152955e-02 4.724551e-01 7.635372e-03
7.000000e+09 4.187490e-01 3.275170e-02 4.172942e-01 1.198495e-02
8.000000e+09 3.790174e-01 3.395280e-02 3.771558e-01 1.596476e-02
9.000000e+09 3.516084e-01 3.551245e-02 3.492447e-01 1.988746e-02
1.000000e+10 3.344662e-01 3.770205e-02 3.314596e-01 2.409788e-02
1.100000e+10 3.262711e-01 4.076091e-02 3.224152e-01 2.897965e-02
1.200000e+10 3.263810e-01 4.494816e-02 3.213711e-01 3.499806e-02
1.300000e+10 3.347813e-01 5.057843e-02 3.281632e-01 4.277006e-02
1.400000e+10 3.520709e-01 5.804283e-02 3.431590e-01 5.316767e-02
1.500000e+10 3.794736e-01 6.780122e-02 3.672211e-01 6.746789e-02
1.600000e+10 4.188280e-01 8.030098e-02 4.016247e-01 8.755700e-02
1.700000e+10 4.724250e-01 9.571375e-02 4.478084e-01 1.161547e-01
1.800000e+10 5.424119e-01 1.132763e-01 5.067246e-01 1.568738e-01
1.900000e+10 6.292776e-01 1.299585e-01 5.774932e-01 2.135479e-01
2.000000e+10 7.290320e-01 1.386009e-01 6.553928e-01 2.876418e-01
2.100000e+10 8.300179e-01 1.275333e-01 7.305648e-01 3.727466e-01
2.200000e+10 9.128865e-01 8.640330e-02 7.901089e-01 4.490259e-01
2.300000e+10 9.566247e-01 1.921408e-02 8.229039e-01 4.874328e-01
2.400000e+10 9.473053e-01 -4.970420e-02 8.214019e-01 4.692714e-01
2.500000e+10 8.856043e-01 -9.260893e-02 7.826340e-01 4.039833e-01
2.600000e+10 7.894040e-01 -1.013680e-01 7.139028e-01 3.212880e-01
2.700000e+10 6.840502e-01 -8.716893e-02 6.319738e-01 2.468511e-01
2.800000e+10 5.883045e-01 -6.441857e-02 5.527916e-01 1.907193e-01
2.900000e+10 5.100862e-01 -4.165423e-02 4.850746e-01 1.521694e-01
3.000000e+10 4.501373e-01 -2.187924e-02 4.312714e-01 1.270821e-01
3.100000e+10 4.063228e-01 -5.282223e-03 3.906635e-01 1.115901e-01
3.200000e+10 3.760289e-01 8.946365e-03 3.615394e-01 1.029899e-01
3.300000e+10 3.570971e-01 2.183141e-02 3.422123e-01 9.966183e-02
3.400000e+10 3.480725e-01 3.437396e-02 3.313730e-01 1.008207e-01
3.500000e+10 3.482111e-01 4.752840e-02 3.281535e-01 1.063358e-01
3.600000e+10 3.574341e-01 6.224478e-02 3.320763e-01 1.166620e-01
