# #nu(Hz) #T #rho #c #s
0.000000e+00 1.000000e+00 0.000000e+00 1.000000e+00 0.000000e+00
1.000000e+09 9.749900e-01 -5.477106e-03 9.743675e-01 3.440253e-02
2.000000e+09 9.082417e-01 -1.867690e-02 9.061277e-01 5.904834e-02
3.000000e+09 8.184874e-01 -3.310816e-02 8.147661e-01 7.058090e-02
4.000000e+09 7.238741e-01 -4.408926e-02 7.189671e-01 7.166674e-02
5.000000e+09 6.360351e-01 -5.027868e-02 6.305102e-01 6.685492e-02
6.000000e+09 5.601751e-01 -5.240441e-02 5.545064e-01 5.977113e-02
7.000000e+09 4.974133e-01 -5.177915e-02 4.919159e-01 5.251382e-02
8.000000e+09 4.468969e-01 -4.954997e-02 4.417484e-01 4.604315e-02
9.000000e+09 4.070881e-01 -4.650537e-02 4.023718e-01 4.068112e-02
1.000000e+10 3.764019e-01 -4.311474e-02 3.721433e-01 3.645417e-02
1.100000e+10 3.534687e-01 -3.961955e-02 3.496609e-01 3.328132e-02
1.200000e+10 3.372166e-01 -3.611123e-02 3.338352e-01 3.106611e-02
1.300000e+10 3.268780e-01 -3.258272e-02 3.238876e-01 2.973926e-02
1.400000e+10 3.219719e-01 -2.895700e-02 3.193275e-01 2.928021e-02
1.500000e+10 3.222868e-01 -2.509834e-02 3.199294e-01 2.973294e-02
1.600000e+10 3.278740e-01 -2.081086e-02 3.257196e-01 3.122567e-02
1.700000e+10 3.390538e-01 -1.582731e-02 3.369730e-01 3.400194e-02
1.800000e+10 3.564361e-01 -9.790462e-03 3.542186e-01 3.847123e-02
1.900000e+10 3.809485e-01 -2.232188e-03 3.782400e-01 4.529038e-02
2.000000e+10 4.138545e-01 7.436605e-03 4.100503e-01 5.548905e-02
2.100000e+10 4.567179e-01 1.989071e-02 4.507819e-01 7.064907e-02
2.200000e+10 5.112100e-01 3.572976e-02 5.013860e-01 9.311869e-02
2.300000e+10 5.785606e-01 5.503253e-02 5.619535e-01 1.261431e-01
2.400000e+10 6.583481e-01 7.639718e-02 6.304517e-01 1.735404e-01
2.500000e+10 7.464622e-01 9.541594e-02 7.009924e-01 2.381411e-01
2.600000e+10 8.330474e-01 1.035155e-01 7.628921e-01 3.181954e-01
2.700000e+10 9.031481e-01 8.988961e-02 8.032577e-01 4.029559e-01
2.800000e+10 9.426143e-01 4.864802e-02 8.140011e-01 4.728185e-01
2.900000e+10 9.456167e-01 -1.369415e-02 7.971442e-01 5.084923e-01
3.000000e+10 9.158061e-01 -7.994653e-02 7.613920e-01 5.025848e-01
3.100000e+10 8.614630e-01 -1.327910e-01 7.147368e-01 4.622082e-01
3.200000e+10 7.917055e-01 -1.635030e-01 6.619669e-01 4.023236e-01
3.300000e+10 7.153437e-01 -1.728658e-01 6.065172e-01 3.375958e-01
3.400000e+10 6.399702e-01 -1.669125e-01 5.518069e-01 2.778690e-01
3.500000e+10 5.709272e-01 -1.523938e-01 5.009021e-01 2.276643e-01
3.600000e+10 5.110320e-01 -1.344147e-01 4.558723e-01 1.877946e-01
3.700000e+10 4.611150e-01 -1.160277e-01 4.176667e-01 1.572233e-01
3.800000e+10 4.208235e-01 -9.870669e-02 3.863992e-01 1.343319e-01
3.900000e+10 3.892846e-01 -8.294899e-02 3.617210e-01 1.175580e-01
4.000000e+10 3.655230e-01 -6.872325e-02 3.431118e-01 1.056337e-01
4.100000e+10 3.486792e-01 -5.573740e-02 3.300582e-01 9.763250e-02
4.200000e+10 3.381089e-01 -4.357541e-02 3.221488e-01 9.294631e-02
4.300000e+10 3.334228e-01 -3.175371e-02 3.191167e-01 9.125244e-02
4.400000e+10 3.345035e-01 -1.973162e-02 3.208546e-01 9.249643e-02
4.500000e+10 3.415203e-01 -6.896212e-03 3.274120e-01 9.690188e-02
4.600000e+10 3.549487e-01 7.465078e-03 3.389758e-01 1.050154e-01
4.700000e+10 3.755880e-01 2.418999e-02 3.558175e-01 1.177927e-01
4.800000e+10 4.045570e-01 4.423726e-02 3.781728e-01 1.367288e-01
4.900000e+10 4.432018e-01 6.859021e-02 4.059849e-01 1.640105e-01
5.000000e+10 4.927833e-01 9.793550e-02 4.384022e-01 2.026020e-01
5.100000e+10 5.537063e-01 1.318866e-01 4.729277e-01 2.559999e-01
5.200000e+10 6.240380e-01 1.675165e-01 5.043419e-01 3.271099e-01
5.300000e+10 6.975682e-01 1.974804e-01 5.242975e-01 4.155899e-01
5.400000e+10 7.632099e-01 2.095876e-01 5.236456e-01 5.141573e-01
5.500000e+10 8.088601e-01 1.910365e-01 4.987195e-01 6.074854e-01
5.600000e+10 8.291707e-01 1.368916e-01 4.571114e-01 6.781105e-01
5.700000e+10 8.291711e-01 5.483163e-02 4.148697e-01 7.158221e-01
5.800000e+10 8.184795e-01 -3.927714e-02 3.863452e-01 7.204883e-01
5.900000e+10 8.029683e-01 -1.289512e-01 3.769196e-01 6.971810e-01
6.000000e+10 7.820546e-01 -2.012069e-01 3.829041e-01 6.515441e-01
6.100000e+10 7.518434e-01 -2.480416e-01 3.955234e-01 5.893259e-01
6.200000e+10 7.099965e-01 -2.674770e-01 4.058040e-01 5.175656e-01
6.300000e+10 6.583727e-01 -2.634193e-01 4.083078e-01 4.442405e-01
6.400000e+10 6.020856e-01 -2.433029e-01 4.021613e-01 3.762672e-01
6.500000e+10 5.467884e-01 -2.148125e-01 3.896064e-01 3.178678e-01
6.600000e+10 4.966719e-01 -1.837237e-01 3.738691e-01 2.704635e-01
6.700000e+10 4.539785e-01 -1.534175e-01 3.577596e-01 2.335971e-01
6.800000e+10 4.194497e-01 -1.253746e-01 3.432140e-01 2.059694e-01
6.900000e+10 3.929843e-01 -9.987860e-02 3.313777e-01 1.861445e-01
7.000000e+10 3.741560e-01 -7.656010e-02 3.228532e-01 1.729077e-01
7.100000e+10 3.625344e-01 -5.472321e-02 3.179276e-01 1.654042e-01
7.200000e+10 3.578633e-01 -3.350352e-02 3.167259e-01 1.631820e-01
7.300000e+10 3.601550e-01 -1.192288e-02 3.192872e-01 1.662082e-01
7.400000e+10 3.697409e-01 1.110869e-02 3.255693e-01 1.748987e-01
7.500000e+10 3.872895e-01 3.680115e-02 3.353703e-01 1.901725e-01
7.600000e+10 4.137617e-01 6.644717e-02 3.481303e-01 2.135153e-01
7.700000e+10 4.502185e-01 1.012373e-01 3.625537e-01 2.469870e-01
7.800000e+10 4.972949e-01 1.417382e-01 3.759914e-01 2.929896e-01
7.900000e+10 5.540748e-01 1.867661e-01 3.836746e-01 3.534277e-01
8.000000e+10 6.162857e-01 2.315727e-01 3.783970e-01 4.277824e-01
8.100000e+10 6.747686e-01 2.663081e-01 3.521349e-01 5.102879e-01
8.200000e+10 7.170357e-01 2.775802e-01 3.009822e-01 5.886418e-01
8.300000e+10 7.340366e-01 2.552557e-01 2.309089e-01 6.483328e-01
8.400000e+10 7.273734e-01 1.997874e-01 1.572067e-01 6.815006e-01
8.500000e+10 7.083141e-01 1.214930e-01 9.601952e-02 6.911791e-01
8.600000e+10 6.896624e-01 3.296126e-02 5.688889e-02 6.865212e-01
8.700000e+10 6.793185e-01 -5.645662e-02 4.226015e-02 6.756481e-01
8.800000e+10 6.788446e-01 -1.407744e-01 5.053506e-02 6.621622e-01
8.900000e+10 6.845957e-01 -2.150399e-01 7.816811e-02 6.452277e-01
9.000000e+10 6.895308e-01 -2.737139e-01 1.198982e-01 6.214159e-01
9.100000e+10 6.857900e-01 -3.112380e-01 1.684914e-01 5.874092e-01
9.200000e+10 6.680458e-01 -3.244889e-01 2.156740e-01 5.426573e-01
9.300000e+10 6.359870e-01 -3.149565e-01 2.545358e-01 4.904013e-01
9.400000e+10 5.939998e-01 -2.883714e-01 2.817096e-01 4.362539e-01
9.500000e+10 5.484628e-01 -2.520334e-01 2.975949e-01 3.856526e-01
9.600000e+10 5.050156e-01 -2.121291e-01 3.048785e-01 3.421857e-01
9.700000e+10 4.673467e-01 -1.725568e-01 3.068154e-01 3.074108e-01
9.800000e+10 4.373245e-01 -1.350722e-01 3.061981e-01 2.815154e-01
9.900000e+10 4.156542e-01 -9.993766e-02 3.050308e-01 2.640778e-01
1.000000e+11 4.025138e-01 -6.652683e-02 3.045753e-01 2.546083e-01
1.010000e+11 3.979940e-01 -3.371809e-02 3.054883e-01 2.528620e-01
1.020000e+11 4.023516e-01 -1.043556e-04 3.079050e-01 2.590005e-01
1.030000e+11 4.161120e-01 3.588826e-02 3.113991e-01 2.736637e-01
1.040000e+11 4.400122e-01 7.585376e-02 3.147767e-01 2.979473e-01
1.050000e+11 4.746766e-01 1.210582e-01 3.156762e-01 3.331836e-01
1.060000e+11 5.198079e-01 1.716317e-01 3.100468e-01 3.802812e-01
1.070000e+11 5.726673e-01 2.250575e-01 2.919069e-01 4.382776e-01
1.080000e+11 6.261724e-01 2.742765e-01 2.544391e-01 5.021205e-01
1.090000e+11 6.685608e-01 3.073512e-01 1.937149e-01 5.612338e-01
1.100000e+11 6.877579e-01 3.118285e-01 1.139454e-01 6.023209e-01
1.110000e+11 6.795481e-01 2.829020e-01 2.850049e-02 6.172032e-01
1.120000e+11 6.512673e-01 2.271002e-01 -4.711023e-02 6.085681e-01
1.130000e+11 6.162638e-01 1.567634e-01 -1.035920e-01 5.869200e-01
1.140000e+11 5.860386e-01 8.225239e-02 -1.394447e-01 5.632327e-01
1.150000e+11 5.670535e-01 8.939516e-03 -1.573082e-01 5.447237e-01
1.160000e+11 5.615063e-01 -6.162149e-02 -1.603013e-01 5.345985e-01
1.170000e+11 5.688698e-01 -1.294201e-01 -1.503293e-01 5.331645e-01
1.180000e+11 5.866614e-01 -1.940642e-01 -1.279247e-01 5.386520e-01
1.190000e+11 6.104397e-01 -2.534265e-01 -9.298648e-02 5.475081e-01
1.200000e+11 6.337391e-01 -3.030492e-01 -4.610816e-02 5.546715e-01
1.210000e+11 6.489606e-01 -3.368917e-01 9.960246e-03 5.545761e-01
1.220000e+11 6.497880e-01 -3.497522e-01 6.973697e-02 5.431709e-01
1.230000e+11 6.340788e-01 -3.402061e-01 1.263070e-01 5.199638e-01
1.240000e+11 6.048803e-01 -3.116659e-01 1.739598e-01 4.883467e-01
1.250000e+11 5.685813e-01 -2.705594e-01 2.101264e-01 4.537942e-01
1.260000e+11 5.319176e-01 -2.233378e-01 2.353295e-01 4.215170e-01
1.270000e+11 5.000217e-01 -1.745047e-01 2.518052e-01 3.951759e-01
1.280000e+11 4.760602e-01 -1.262131e-01 2.620878e-01 3.768469e-01
1.290000e+11 4.617676e-01 -7.874998e-02 2.681577e-01 3.675857e-01
1.300000e+11 4.581339e-01 -3.120170e-02 2.710689e-01 3.680147e-01
1.310000e+11 4.658737e-01 1.798520e-02 2.707674e-01 3.786818e-01
1.320000e+11 4.855341e-01 7.049212e-02 2.658865e-01 4.000982e-01
1.330000e+11 5.171024e-01 1.274191e-01 2.534732e-01 4.323317e-01
1.340000e+11 5.589090e-01 1.880476e-01 2.288865e-01 4.739497e-01
1.350000e+11 6.058150e-01 2.479808e-01 1.866112e-01 5.202822e-01
1.360000e+11 6.477676e-01 2.976914e-01 1.231013e-01 5.619865e-01
1.370000e+11 6.716332e-01 3.243615e-01 4.143187e-02 5.866550e-01
1.380000e+11 6.682181e-01 3.189123e-01 -4.648963e-02 5.853623e-01
1.390000e+11 6.392724e-01 2.830105e-01 -1.251892e-01 5.593763e-01
1.400000e+11 5.960742e-01 2.276509e-01 -1.845907e-01 5.190432e-01
1.410000e+11 5.514420e-01 1.651603e-01 -2.233670e-01 4.763587e-01
1.420000e+11 5.140583e-01 1.035137e-01 -2.456276e-01 4.395542e-01
1.430000e+11 4.879242e-01 4.579240e-02 -2.565699e-01 4.124862e-01
1.440000e+11 4.741193e-01 -8.016889e-03 -2.602150e-01 3.962487e-01
1.450000e+11 4.724227e-01 -5.928154e-02 -2.588747e-01 3.907081e-01
1.460000e+11 4.821369e-01 -1.096165e-01 -2.532980e-01 3.953231e-01
1.470000e+11 5.022323e-01 -1.601781e-01 -2.429254e-01 4.093501e-01
1.480000e+11 5.310077e-01 -2.110401e-01 -2.261384e-01 4.316163e-01
1.490000e+11 5.654506e-01 -2.605091e-01 -2.006592e-01 4.600058e-01
1.500000e+11 6.006443e-01 -3.045667e-01 -1.643693e-01 4.909129e-01
1.510000e+11 6.299267e-01 -3.370778e-01 -1.166703e-01 5.192053e-01
1.520000e+11 6.465713e-01 -3.515070e-01 -5.988735e-02 5.393615e-01
1.530000e+11 6.467262e-01 -3.438712e-01 5.131077e-04 5.477291e-01
1.540000e+11 6.316026e-01 -3.149191e-01 5.768973e-02 5.444444e-01
1.550000e+11 6.069167e-01 -2.695408e-01 1.061050e-01 5.333267e-01
1.560000e+11 5.801366e-01 -2.139669e-01 1.430352e-01 5.199207e-01
1.570000e+11 5.578802e-01 -1.531253e-01 1.681643e-01 5.094151e-01
