# #nu(Hz) #T #rho #c #s
0.000000e+00 1.000000e+00 0.000000e+00 1.000000e+00 0.000000e+00
1.000000e+09 9.604740e-01 -7.734099e-03 9.596490e-01 3.904256e-02
2.000000e+09 8.615033e-01 -2.415943e-02 8.589432e-01 6.181268e-02
3.000000e+09 7.416208e-01 -3.828624e-02 7.376086e-01 6.685224e-02
4.000000e+09 6.293162e-01 -4.559124e-02 6.246121e-01 6.180641e-02
5.000000e+09 5.363745e-01 -4.709020e-02 5.316115e-01 5.356642e-02
6.000000e+09 4.642691e-01 -4.516299e-02 4.598090e-01 4.562706e-02
7.000000e+09 4.104815e-01 -4.162571e-02 4.064805e-01 3.919201e-02
8.000000e+09 3.717496e-01 -3.748872e-02 3.682463e-01 3.445316e-02
9.000000e+09 3.452779e-01 -3.319107e-02 3.422519e-01 3.128536e-02
1.000000e+10 3.290467e-01 -2.882952e-02 3.264474e-01 2.954098e-02
1.100000e+10 3.218145e-01 -2.429238e-02 3.195681e-01 2.916624e-02
1.200000e+10 3.230602e-01 -1.931378e-02 3.210593e-01 3.026191e-02
1.300000e+10 3.329536e-01 -1.347309e-02 3.310251e-01 3.315013e-02
1.400000e+10 3.523812e-01 -6.156058e-03 3.502188e-01 3.848923e-02
1.500000e+10 3.830197e-01 3.504510e-03 3.800490e-01 4.748235e-02
1.600000e+10 4.273971e-01 1.665967e-02 4.225127e-01 6.223979e-02
1.700000e+10 4.887376e-01 3.458886e-02 4.798063e-01 8.633661e-02
1.800000e+10 5.700360e-01 5.791998e-02 5.530472e-01 1.253998e-01
1.900000e+10 6.712058e-01 8.434133e-02 6.391714e-01 1.867182e-01
2.000000e+10 7.832798e-01 1.042981e-01 7.259847e-01 2.749462e-01
2.100000e+10 8.831587e-01 9.881965e-02 7.906624e-01 3.808633e-01
2.200000e+10 9.410163e-01 5.133176e-02 8.123503e-01 4.721902e-01
2.300000e+10 9.416904e-01 -2.897421e-02 7.909090e-01 5.102981e-01
2.400000e+10 8.922125e-01 -1.077324e-01 7.419074e-01 4.837460e-01
2.500000e+10 8.096364e-01 -1.560284e-01 6.781897e-01 4.137935e-01
2.600000e+10 7.125530e-01 -1.690501e-01 6.077318e-01 3.313848e-01
2.700000e+10 6.172498e-01 -1.582283e-01 5.381364e-01 2.576245e-01
2.800000e+10 5.340440e-01 -1.368130e-01 4.758098e-01 2.002256e-01
2.900000e+10 4.668444e-01 -1.132502e-01 4.241524e-01 1.587856e-01
3.000000e+10 4.154899e-01 -9.128635e-02 3.838800e-01 1.301338e-01
3.100000e+10 3.781823e-01 -7.190755e-02 3.542876e-01 1.110471e-01
3.200000e+10 3.529278e-01 -5.483156e-02 3.342599e-01 9.910517e-02
3.300000e+10 3.381655e-01 -3.927413e-02 3.228101e-01 9.277423e-02
3.400000e+10 3.329826e-01 -2.424721e-02 3.193015e-01 9.130199e-02
3.500000e+10 3.371823e-01 -8.618115e-03 3.235113e-01 9.464718e-02
3.600000e+10 3.513290e-01 8.942090e-03 3.356118e-01 1.035222e-01
3.700000e+10 3.768024e-01 3.004258e-02 3.560568e-01 1.195871e-01
3.800000e+10 4.157922e-01 5.657917e-02 3.852533e-01 1.458143e-01
3.900000e+10 4.709615e-01 9.038298e-02 4.227192e-01 1.869335e-01
4.000000e+10 5.440828e-01 1.318260e-01 4.652255e-01 2.494257e-01
4.100000e+10 6.324781e-01 1.762635e-01 5.037784e-01 3.393627e-01
4.200000e+10 7.234670e-01 2.086389e-01 5.221241e-01 4.552590e-01
4.300000e+10 7.940081e-01 2.037143e-01 5.049238e-01 5.779284e-01
4.400000e+10 8.266265e-01 1.435472e-01 4.569459e-01 6.737254e-01
4.500000e+10 8.269755e-01 3.820281e-02 4.067622e-01 7.190087e-01
4.600000e+10 8.125861e-01 -8.108018e-02 3.809296e-01 7.131724e-01
4.700000e+10 7.901642e-01 -1.828683e-01 3.835958e-01 6.661628e-01
4.800000e+10 7.535480e-01 -2.462316e-01 4.001612e-01 5.891313e-01
4.900000e+10 6.976566e-01 -2.653797e-01 4.121734e-01 4.963985e-01
5.000000e+10 6.278298e-01 -2.496777e-01 4.100951e-01 4.045408e-01
5.100000e+10 5.557873e-01 -2.152662e-01 3.954466e-01 3.258558e-01
5.200000e+10 4.913684e-01 -1.754627e-01 3.747303e-01 2.650150e-01
5.300000e+10 4.393568e-01 -1.373975e-01 3.538683e-01 2.212092e-01
5.400000e+10 4.007506e-01 -1.033978e-01 3.364650e-01 1.915756e-01
5.500000e+10 3.748730e-01 -7.322340e-02 3.242441e-01 1.733028e-01
5.600000e+10 3.607786e-01 -4.552170e-02 3.178814e-01 1.644396e-01
5.700000e+10 3.579492e-01 -1.847783e-02 3.175823e-01 1.640965e-01
5.800000e+10 3.665998e-01 1.000184e-02 3.233239e-01 1.725023e-01
5.900000e+10 3.877973e-01 4.229002e-02 3.347735e-01 1.911153e-01
6.000000e+10 4.233705e-01 8.095779e-02 3.507839e-01 2.227984e-01
6.100000e+10 4.752589e-01 1.281525e-01 3.682135e-01 2.717845e-01
6.200000e+10 5.434099e-01 1.835064e-01 3.798887e-01 3.424972e-01
6.300000e+10 6.212077e-01 2.395488e-01 3.728559e-01 4.353089e-01
6.400000e+10 6.906965e-01 2.769000e-01 3.319598e-01 5.386936e-01
6.500000e+10 7.283510e-01 2.700461e-01 2.543684e-01 6.267910e-01
6.600000e+10 7.266003e-01 2.090317e-01 1.619330e-01 6.767802e-01
6.700000e+10 7.035724e-01 1.098198e-01 8.673066e-02 6.895154e-01
6.800000e+10 6.837389e-01 -3.460881e-03 4.741071e-02 6.820844e-01
6.900000e+10 6.790413e-01 -1.141654e-01 4.659720e-02 6.677515e-01
7.000000e+10 6.863167e-01 -2.112893e-01 7.899931e-02 6.481871e-01
7.100000e+10 6.920374e-01 -2.832728e-01 1.344346e-01 6.169275e-01
