# #nu(Hz) #T #rho #c #s
0.000000e+00 1.000000e+00 0.000000e+00 1.000000e+00 0.000000e+00
1.000000e+09 9.603693e-01 -8.101754e-03 9.594807e-01 4.050227e-02
2.000000e+09 8.612248e-01 -2.530529e-02 8.584678e-01 6.403833e-02
3.000000e+09 7.412727e-01 -4.011040e-02 7.369515e-01 6.912909e-02
4.000000e+09 6.290067e-01 -4.779719e-02 6.239383e-01 6.376436e-02
5.000000e+09 5.361470e-01 -4.943187e-02 5.310111e-01 5.511200e-02
6.000000e+09 4.641231e-01 -4.749966e-02 4.593088e-01 4.679158e-02
7.000000e+09 4.104014e-01 -4.389667e-02 4.060778e-01 4.004028e-02
8.000000e+09 3.717191e-01 -3.967975e-02 3.679299e-01 3.504649e-02
9.000000e+09 3.452848e-01 -3.531170e-02 3.420112e-01 3.167077e-02
1.000000e+10 3.290833e-01 -3.090031e-02 3.262758e-01 2.975022e-02
1.100000e+10 3.218773e-01 -2.633830e-02 3.194646e-01 2.921736e-02
1.200000e+10 3.231499e-01 -2.136078e-02 3.210294e-01 3.016094e-02
1.300000e+10 3.330756e-01 -1.554558e-02 3.310828e-01 3.289232e-02
1.400000e+10 3.525480e-01 -8.273772e-03 3.503899e-01 3.806011e-02
1.500000e+10 3.832550e-01 1.332217e-03 3.803771e-01 4.686005e-02
1.600000e+10 4.277426e-01 1.444449e-02 4.230660e-01 6.140190e-02
1.700000e+10 4.892636e-01 3.238115e-02 4.806848e-01 8.527881e-02
1.800000e+10 5.708461e-01 5.582935e-02 5.543719e-01 1.241779e-01
1.900000e+10 6.724042e-01 8.253216e-02 6.410148e-01 1.855149e-01
2.000000e+10 7.848315e-01 1.028925e-01 7.281796e-01 2.740949e-01
2.100000e+10 8.846569e-01 9.770160e-02 7.925790e-01 3.806453e-01
2.200000e+10 9.417281e-01 5.015729e-02 8.130950e-01 4.724539e-01
2.300000e+10 9.411551e-01 -3.038013e-02 7.900411e-01 5.105732e-01
2.400000e+10 8.906522e-01 -1.092606e-01 7.397444e-01 4.838405e-01
2.500000e+10 8.076672e-01 -1.576021e-01 6.754243e-01 4.138719e-01
2.600000e+10 7.107138e-01 -1.707150e-01 6.049872e-01 3.316036e-01
2.700000e+10 6.157953e-01 -1.600198e-01 5.357645e-01 2.579806e-01
2.800000e+10 5.330011e-01 -1.387053e-01 4.739153e-01 2.006371e-01
2.900000e+10 4.661408e-01 -1.151919e-01 4.227063e-01 1.591776e-01
3.000000e+10 4.150383e-01 -9.323504e-02 3.828100e-01 1.304627e-01
3.100000e+10 3.779122e-01 -7.383985e-02 3.535234e-01 1.112947e-01
3.200000e+10 3.527915e-01 -5.674037e-02 3.337489e-01 9.926722e-02
3.300000e+10 3.381350e-01 -4.116238e-02 3.225202e-01 9.285281e-02
3.400000e+10 3.330468e-01 -2.612204e-02 3.192206e-01 9.130202e-02
3.500000e+10 3.373458e-01 -1.048558e-02 3.236473e-01 9.457642e-02
