# #nu(Hz) #T #rho #c #s
0.000000e+00 1.000000e+00 0.000000e+00 1.000000e+00 0.000000e+00
1.000000e+09 9.203686e-01 -1.094346e-02 9.193906e-01 4.098034e-02
2.000000e+09 7.514733e-01 -2.716541e-02 7.490721e-01 5.352593e-02
3.000000e+09 5.911661e-01 -3.344132e-02 5.882582e-01 4.807544e-02
4.000000e+09 4.737268e-01 -3.187381e-02 4.710028e-01 3.946606e-02
5.000000e+09 3.965415e-01 -2.718321e-02 3.942337e-01 3.295479e-02
6.000000e+09 3.498645e-01 -2.161032e-02 3.479662e-01 2.928599e-02
7.000000e+09 3.262029e-01 -1.562695e-02 3.245967e-01 2.830412e-02
8.000000e+09 3.216210e-01 -8.798289e-03 3.200857e-01 3.013032e-02
9.000000e+09 3.354845e-01 -4.528702e-05 3.335854e-01 3.564564e-02
1.000000e+10 3.704147e-01 1.248513e-02 3.671896e-01 4.714832e-02
1.100000e+10 4.326030e-01 3.164522e-02 4.257641e-01 6.977693e-02
1.200000e+10 5.312322e-01 6.053314e-02 5.152653e-01 1.142149e-01
1.300000e+10 6.715748e-01 9.652717e-02 6.342272e-01 1.986230e-01
1.400000e+10 8.307940e-01 1.131964e-01 7.522098e-01 3.340445e-01
1.500000e+10 9.365496e-01 5.810961e-02 8.074035e-01 4.710074e-01
1.600000e+10 9.296676e-01 -5.983054e-02 7.787880e-01 5.041740e-01
1.700000e+10 8.269633e-01 -1.450338e-01 6.983649e-01 4.184733e-01
1.800000e+10 6.833140e-01 -1.567923e-01 5.945136e-01 2.981406e-01
1.900000e+10 5.506325e-01 -1.288642e-01 4.948719e-01 2.041861e-01
2.000000e+10 4.516643e-01 -9.419930e-02 4.170590e-01 1.455640e-01
2.100000e+10 3.864957e-01 -6.420041e-02 3.641369e-01 1.125238e-01
2.200000e+10 3.487910e-01 -3.941889e-02 3.329980e-01 9.598753e-02
2.300000e+10 3.334175e-01 -1.728194e-02 3.202833e-01 9.103398e-02
2.400000e+10 3.383360e-01 5.588986e-03 3.242743e-01 9.636472e-02
2.500000e+10 3.649448e-01 3.327916e-02 3.450455e-01 1.141087e-01
2.600000e+10 4.182059e-01 7.091313e-02 3.835245e-01 1.509188e-01
