# #nu(Hz) #T #rho #c #s
0.000000e+00 1.000000e+00 0.000000e+00 1.000000e+00 0.000000e+00
1.000000e+09 9.758239e-01 -2.111795e-03 9.756706e-01 1.716732e-02
2.000000e+09 9.108425e-01 -7.174989e-03 9.103208e-01 2.997607e-02
3.000000e+09 8.225115e-01 -1.260971e-02 8.215917e-01 3.678695e-02
4.000000e+09 7.283968e-01 -1.652878e-02 7.271835e-01 3.863681e-02
5.000000e+09 6.402914e-01 -1.838811e-02 6.389264e-01 3.752340e-02
6.000000e+09 5.637823e-01 -1.849653e-02 5.623824e-01 3.513475e-02
7.000000e+09 5.002790e-01 -1.740516e-02 4.989180e-01 3.251046e-02
8.000000e+09 4.490762e-01 -1.558934e-02 4.477901e-01 3.017416e-02
9.000000e+09 4.086866e-01 -1.336491e-02 4.074832e-01 2.834642e-02
1.000000e+10 3.775259e-01 -1.090461e-02 3.763939e-01 2.710154e-02
1.100000e+10 3.542062e-01 -8.276731e-03 3.531196e-01 2.645901e-02
1.200000e+10 3.376315e-01 -5.477411e-03 3.365507e-01 2.643234e-02
1.300000e+10 3.270095e-01 -2.450779e-03 3.258791e-01 2.705551e-02
1.400000e+10 3.218343e-01 9.017481e-04 3.205775e-01 2.840069e-02
1.500000e+10 3.218682e-01 4.720430e-03 3.203760e-01 3.059514e-02
1.600000e+10 3.271304e-01 9.192335e-03 3.252452e-01 3.384307e-02
1.700000e+10 3.378993e-01 1.456077e-02 3.353877e-01 3.845782e-02
1.800000e+10 3.547248e-01 2.113629e-02 3.512349e-01 4.491028e-02
1.900000e+10 3.784456e-01 2.930308e-02 3.734395e-01 5.390104e-02
2.000000e+10 4.101938e-01 3.950620e-02 4.028410e-01 6.646295e-02
2.100000e+10 4.513464e-01 5.218673e-02 4.403617e-01 8.409336e-02
2.200000e+10 5.033394e-01 6.759776e-02 4.867496e-01 1.088850e-01
2.300000e+10 5.671926e-01 8.538548e-02 5.420451e-01 1.435406e-01
2.400000e+10 6.425386e-01 1.038020e-01 6.046558e-01 1.909773e-01
2.500000e+10 7.260831e-01 1.186038e-01 6.701694e-01 2.529876e-01
2.600000e+10 8.100796e-01 1.224020e-01 7.307421e-01 3.275098e-01
2.700000e+10 8.825628e-01 1.063470e-01 7.766870e-01 4.054191e-01
2.800000e+10 9.310037e-01 6.556775e-02 8.007737e-01 4.703513e-01
2.900000e+10 9.475508e-01 5.298177e-03 8.017893e-01 5.049340e-01
3.000000e+10 9.311520e-01 -5.929572e-02 7.830904e-01 5.002974e-01
3.100000e+10 8.859670e-01 -1.113176e-01 7.485363e-01 4.606945e-01
3.200000e+10 8.196383e-01 -1.411506e-01 7.014297e-01 3.998498e-01
3.300000e+10 7.419890e-01 -1.490260e-01 6.460263e-01 3.331501e-01
3.400000e+10 6.627142e-01 -1.412589e-01 5.877473e-01 2.716416e-01
3.500000e+10 5.890166e-01 -1.251437e-01 5.316616e-01 2.204895e-01
3.600000e+10 5.247991e-01 -1.061016e-01 4.812082e-01 1.805415e-01
3.700000e+10 4.713053e-01 -8.721203e-02 4.380264e-01 1.505180e-01
3.800000e+10 4.282134e-01 -6.981864e-02 4.024572e-01 1.285314e-01
3.900000e+10 3.945255e-01 -5.425193e-02 3.741371e-01 1.128209e-01
4.000000e+10 3.691046e-01 -4.033760e-02 3.524305e-01 1.019992e-01
4.100000e+10 3.509406e-01 -2.768182e-02 3.366797e-01 9.507786e-02
4.200000e+10 3.392603e-01 -1.580654e-02 3.263280e-01 9.142055e-02
4.300000e+10 3.335622e-01 -4.199873e-03 3.209690e-01 9.069150e-02
4.400000e+10 3.336236e-01 7.677476e-03 3.203586e-01 9.282321e-02
4.500000e+10 3.395024e-01 2.040701e-02 3.244057e-01 9.801217e-02
4.600000e+10 3.515404e-01 3.463437e-02 3.331463e-01 1.067458e-01
4.700000e+10 3.703659e-01 5.108475e-02 3.466905e-01 1.198622e-01
4.800000e+10 3.968740e-01 7.054805e-02 3.651174e-01 1.386407e-01
4.900000e+10 4.321382e-01 9.378547e-02 3.882724e-01 1.649008e-01
5.000000e+10 4.771575e-01 1.212629e-01 4.153986e-01 2.010437e-01
5.100000e+10 5.322826e-01 1.525592e-01 4.445473e-01 2.498562e-01
5.200000e+10 5.961663e-01 1.853036e-01 4.718557e-01 3.137340e-01
5.300000e+10 6.643838e-01 2.138114e-01 4.912324e-01 3.929139e-01
5.400000e+10 7.287730e-01 2.285140e-01 4.956754e-01 4.829051e-01
5.500000e+10 7.794937e-01 2.182726e-01 4.812264e-01 5.730520e-01
5.600000e+10 8.102646e-01 1.761829e-01 4.516184e-01 6.492527e-01
5.700000e+10 8.224551e-01 1.047353e-01 4.184075e-01 7.002843e-01
5.800000e+10 8.228359e-01 1.519632e-02 3.947647e-01 7.217955e-01
5.900000e+10 8.169496e-01 -7.734252e-02 3.882789e-01 7.146077e-01
6.000000e+10 8.047657e-01 -1.582497e-01 3.980021e-01 6.813217e-01
