# #nu(Hz) #T #rho #c #s
0.000000e+00 1.000000e+00 0.000000e+00 1.000000e+00 0.000000e+00
1.000000e+09 8.083670e-01 -3.265240e-02 8.048252e-01 6.817160e-02
2.000000e+09 5.454105e-01 -4.946968e-02 5.402578e-01 5.609664e-02
3.000000e+09 3.959889e-01 -4.252686e-02 3.918426e-01 3.818467e-02
4.000000e+09 3.318744e-01 -3.188721e-02 3.289687e-01 3.005679e-02
5.000000e+09 3.245880e-01 -2.015922e-02 3.225132e-01 3.059692e-02
6.000000e+09 3.716316e-01 -2.195658e-03 3.690801e-01 4.341712e-02
7.000000e+09 4.972963e-01 3.471755e-02 4.880828e-01 8.873290e-02
8.000000e+09 7.346828e-01 9.567342e-02 6.906770e-01 2.314533e-01
9.000000e+09 9.417281e-01 5.015729e-02 8.130950e-01 4.724539e-01
1.000000e+10 8.566656e-01 -1.353530e-01 7.123714e-01 4.561606e-01
1.100000e+10 6.258678e-01 -1.619404e-01 5.431821e-01 2.654036e-01
1.200000e+10 4.474286e-01 -1.076114e-01 4.081684e-01 1.483600e-01
1.300000e+10 3.574246e-01 -6.037718e-02 3.373754e-01 1.014141e-01
1.400000e+10 3.331828e-01 -2.274206e-02 3.195356e-01 9.160006e-02
1.500000e+10 3.673232e-01 2.065702e-02 3.488565e-01 1.131316e-01
1.600000e+10 4.793096e-01 9.302594e-02 4.288639e-01 1.927684e-01
1.700000e+10 6.864395e-01 1.961493e-01 5.199860e-01 4.029133e-01
1.800000e+10 8.277645e-01 1.406538e-01 4.570532e-01 6.756574e-01
1.900000e+10 8.025891e-01 -1.335367e-01 3.782234e-01 6.951721e-01
2.000000e+10 7.023240e-01 -2.666249e-01 4.095683e-01 5.044046e-01
2.100000e+10 5.314712e-01 -2.031796e-01 3.869786e-01 3.023693e-01
2.200000e+10 4.075408e-01 -1.119764e-01 3.388883e-01 1.967371e-01
2.300000e+10 3.591332e-01 -4.101713e-02 3.170678e-01 1.635916e-01
2.400000e+10 3.797783e-01 2.958853e-02 3.309592e-01 1.839080e-01
2.500000e+10 4.837354e-01 1.331998e-01 3.714223e-01 2.798271e-01
2.600000e+10 6.652203e-01 2.638924e-01 3.555961e-01 4.964174e-01
2.700000e+10 7.269718e-01 2.050321e-01 1.598906e-01 6.788849e-01
2.800000e+10 6.792941e-01 -5.914595e-02 4.230645e-02 6.753905e-01
2.900000e+10 6.910106e-01 -2.800648e-01 1.288136e-01 6.184387e-01
3.000000e+10 6.259471e-01 -3.072407e-01 2.652734e-01 4.764903e-01
3.100000e+10 4.895167e-01 -1.940013e-01 3.074604e-01 3.278081e-01
3.200000e+10 4.078674e-01 -8.029358e-02 3.051635e-01 2.584259e-01
3.300000e+10 4.095968e-01 2.429653e-02 3.096727e-01 2.669869e-01
3.400000e+10 5.060212e-01 1.595583e-01 3.113175e-01 3.656228e-01
3.500000e+10 6.613589e-01 3.049401e-01 2.043658e-01 5.501289e-01
3.600000e+10 6.525976e-01 2.334062e-01 -4.240264e-02 6.079532e-01
3.700000e+10 5.665153e-01 8.744505e-03 -1.575908e-01 5.440848e-01
3.800000e+10 5.905149e-01 -2.011614e-01 -1.238890e-01 5.411963e-01
3.900000e+10 6.520167e-01 -3.411038e-01 2.582495e-02 5.550740e-01
4.000000e+10 5.924895e-01 -2.955900e-01 1.900928e-01 4.770064e-01
4.100000e+10 4.873227e-01 -1.483618e-01 2.582243e-01 3.857362e-01
4.200000e+10 4.612980e-01 5.750691e-04 2.712263e-01 3.731379e-01
4.300000e+10 5.453319e-01 1.723093e-01 2.367787e-01 4.600350e-01
4.400000e+10 6.677145e-01 3.230314e-01 5.747347e-02 5.815412e-01
4.500000e+10 5.992316e-01 2.348197e-01 -1.794543e-01 5.212815e-01
4.600000e+10 4.873903e-01 4.725297e-02 -2.563564e-01 4.118226e-01
4.700000e+10 4.842737e-01 -1.136505e-01 -2.527829e-01 3.971214e-01
4.800000e+10 5.747925e-01 -2.700024e-01 -1.939736e-01 4.688917e-01
4.900000e+10 6.498481e-01 -3.501100e-01 -3.878265e-02 5.460965e-01
5.000000e+10 5.948421e-01 -2.423881e-01 1.254341e-01 5.285371e-01
5.100000e+10 5.427380e-01 -4.912057e-02 1.854415e-01 5.077038e-01
5.200000e+10 6.044302e-01 1.675185e-01 1.268917e-01 5.667203e-01
5.300000e+10 6.815422e-01 3.184193e-01 -9.714996e-02 5.947022e-01
5.400000e+10 5.621516e-01 2.173304e-01 -2.805641e-01 4.359653e-01
5.500000e+10 4.364638e-01 6.181953e-02 -3.063858e-01 3.046421e-01
5.600000e+10 4.094673e-01 -5.498630e-02 -3.007613e-01 2.723649e-01
5.700000e+10 4.712992e-01 -1.710559e-01 -2.986205e-01 3.220071e-01
5.800000e+10 5.995529e-01 -2.954782e-01 -2.606370e-01 4.519123e-01
5.900000e+10 6.795491e-01 -3.112884e-01 -1.253098e-01 5.909179e-01
6.000000e+10 6.566727e-01 -1.272681e-01 -1.734475e-03 6.442196e-01
6.100000e+10 6.894909e-01 1.371591e-01 -5.340429e-02 6.735972e-01
6.200000e+10 7.046901e-01 2.882620e-01 -2.726100e-01 5.823890e-01
6.300000e+10 5.402180e-01 1.847763e-01 -3.656687e-01 3.521074e-01
6.400000e+10 4.064396e-01 5.955992e-02 -3.374666e-01 2.185453e-01
6.500000e+10 3.639820e-01 -2.329853e-02 -3.161704e-01 1.788193e-01
6.600000e+10 3.948210e-01 -9.761886e-02 -3.269058e-01 1.987129e-01
6.700000e+10 5.003483e-01 -1.903720e-01 -3.629575e-01 2.869996e-01
6.800000e+10 6.628169e-01 -2.761966e-01 -3.779760e-01 4.692290e-01
6.900000e+10 7.680938e-01 -1.986623e-01 -3.202292e-01 6.692941e-01
7.000000e+10 8.050098e-01 7.413733e-02 -3.474453e-01 7.223753e-01
7.100000e+10 7.437963e-01 2.266799e-01 -4.802865e-01 5.207438e-01
7.200000e+10 5.357643e-01 1.367770e-01 -4.473966e-01 2.610970e-01
7.300000e+10 3.936878e-01 4.383341e-02 -3.639950e-01 1.434446e-01
7.400000e+10 3.399552e-01 -1.093676e-02 -3.226179e-01 1.066193e-01
7.500000e+10 3.490702e-01 -5.344996e-02 -3.273043e-01 1.089264e-01
7.600000e+10 4.209590e-01 -1.034250e-01 -3.799940e-01 1.487086e-01
7.700000e+10 5.750211e-01 -1.672184e-01 -4.874741e-01 2.550612e-01
7.800000e+10 7.934377e-01 -1.796963e-01 -6.245616e-01 4.551654e-01
7.900000e+10 9.281892e-01 -2.011790e-03 -7.321106e-01 5.705658e-01
8.000000e+10 8.073963e-01 1.274536e-01 -7.127253e-01 3.573051e-01
8.100000e+10 5.547162e-01 6.866397e-02 -5.308583e-01 1.455496e-01
8.200000e+10 3.984349e-01 1.410470e-02 -3.923782e-01 6.775555e-02
8.300000e+10 3.327875e-01 -1.348220e-02 -3.295540e-01 4.427117e-02
8.400000e+10 3.261985e-01 -3.072544e-02 -3.221974e-01 4.062307e-02
8.500000e+10 3.737310e-01 -4.686596e-02 -3.674268e-01 4.975983e-02
8.600000e+10 4.963140e-01 -6.421018e-02 -4.862218e-01 7.611157e-02
8.700000e+10 7.288335e-01 -6.671047e-02 -7.150239e-01 1.244545e-01
8.800000e+10 9.791309e-01 -1.501152e-02 -9.703770e-01 1.297706e-01
8.900000e+10 8.869746e-01 2.416257e-03 -8.866784e-01 2.279156e-02
9.000000e+10 6.052925e-01 -2.708822e-02 -6.042434e-01 -2.313423e-02
9.100000e+10 4.248132e-01 -3.407289e-02 -4.228233e-01 -2.292824e-02
9.200000e+10 3.418117e-01 -3.041864e-02 -3.399273e-01 -1.895688e-02
9.300000e+10 3.206937e-01 -2.393528e-02 -3.192589e-01 -1.858327e-02
9.400000e+10 3.515942e-01 -1.347965e-02 -3.504551e-01 -2.485966e-02
9.500000e+10 4.508065e-01 9.030091e-03 -4.480514e-01 -4.893740e-02
9.600000e+10 6.574857e-01 5.649495e-02 -6.414379e-01 -1.328654e-01
9.700000e+10 9.190449e-01 7.048917e-02 -8.512295e-01 -3.392389e-01
9.800000e+10 9.187832e-01 -8.104883e-02 -8.098660e-01 -4.262754e-01
9.900000e+10 6.853607e-01 -1.480680e-01 -6.119945e-01 -2.706620e-01
1.000000e+11 4.803411e-01 -1.085184e-01 -4.440095e-01 -1.476715e-01
1.010000e+11 3.702420e-01 -6.508301e-02 -3.519249e-01 -9.482717e-02
1.020000e+11 3.309959e-01 -3.149980e-02 -3.198047e-01 -7.931592e-02
1.030000e+11 3.481811e-01 3.275751e-03 -3.363368e-01 -8.998289e-02
1.040000e+11 4.333935e-01 5.791962e-02 -4.054357e-01 -1.417643e-01
1.050000e+11 6.172662e-01 1.509186e-01 -5.211370e-01 -2.943761e-01
1.060000e+11 8.227837e-01 1.770621e-01 -5.533603e-01 -5.825928e-01
