# #nu(Hz) #T #rho #c #s
0.000000e+00 1.000000e+00 0.000000e+00 1.000000e+00 0.000000e+00
1.000000e+09 9.634794e-01 -7.855810e-03 9.625905e-01 4.062501e-02
2.000000e+09 8.709018e-01 -2.500125e-02 8.680903e-01 6.530028e-02
3.000000e+09 7.565045e-01 -4.055707e-02 7.519908e-01 7.186110e-02
4.000000e+09 6.469194e-01 -4.942151e-02 6.414992e-01 6.738679e-02
5.000000e+09 5.542362e-01 -5.211041e-02 5.486288e-01 5.889617e-02
6.000000e+09 4.808305e-01 -5.089445e-02 4.754804e-01 5.026036e-02
7.000000e+09 4.249074e-01 -4.770191e-02 4.200291e-01 4.296938e-02
8.000000e+09 3.836139e-01 -4.370140e-02 3.792814e-01 3.735602e-02
9.000000e+09 3.543191e-01 -3.946770e-02 3.505327e-01 3.333373e-02
1.000000e+10 3.350053e-01 -3.520400e-02 3.317298e-01 3.073319e-02
1.100000e+10 3.243193e-01 -3.089026e-02 3.214999e-01 2.943813e-02
1.200000e+10 3.215313e-01 -2.635710e-02 3.190935e-01 2.944467e-02
1.300000e+10 3.264961e-01 -2.130620e-02 3.243309e-01 3.090678e-02
1.400000e+10 3.396530e-01 -1.529318e-02 3.375802e-01 3.420363e-02
1.500000e+10 3.620688e-01 -7.683745e-03 3.597638e-01 4.006037e-02
1.600000e+10 3.955088e-01 2.399055e-03 3.923584e-01 4.976267e-02
1.700000e+10 4.424597e-01 1.608040e-02 4.372868e-01 6.551493e-02
1.800000e+10 5.058875e-01 3.452098e-02 4.964448e-01 9.095623e-02
1.900000e+10 5.881769e-01 5.805024e-02 5.703175e-01 1.316062e-01
2.000000e+10 6.882397e-01 8.387412e-02 6.549321e-01 1.941726e-01
2.100000e+10 7.962500e-01 1.022301e-01 7.375723e-01 2.820466e-01
2.200000e+10 8.899036e-01 9.531089e-02 7.966016e-01 3.850586e-01
2.300000e+10 9.425175e-01 4.881569e-02 8.139033e-01 4.727766e-01
2.400000e+10 9.417499e-01 -2.823985e-02 7.907765e-01 5.106544e-01
2.500000e+10 8.948747e-01 -1.051082e-01 7.424076e-01 4.884505e-01
2.600000e+10 8.174331e-01 -1.552199e-01 6.811879e-01 4.243663e-01
2.700000e+10 7.256606e-01 -1.724304e-01 6.141778e-01 3.458852e-01
2.800000e+10 6.338779e-01 -1.656520e-01 5.475431e-01 2.730514e-01
2.900000e+10 5.518225e-01 -1.468460e-01 4.867990e-01 2.144085e-01
3.000000e+10 4.838597e-01 -1.244770e-01 4.352898e-01 1.707292e-01
