# #nu(Hz) #T #rho #c #s
0.000000e+00 1.000000e+00 0.000000e+00 1.000000e+00 0.000000e+00
1.000000e+09 9.615116e-01 -3.303853e-03 9.612717e-01 2.122232e-02
2.000000e+09 8.643367e-01 -1.024583e-02 8.635907e-01 3.441178e-02
3.000000e+09 7.453160e-01 -1.596903e-02 7.441455e-01 3.857976e-02
4.000000e+09 6.328128e-01 -1.846236e-02 6.314404e-01 3.733873e-02
5.000000e+09 5.391940e-01 -1.821029e-02 5.378019e-01 3.417138e-02
6.000000e+09 4.663593e-01 -1.631008e-02 4.650438e-01 3.097207e-02
7.000000e+09 4.119541e-01 -1.357861e-02 4.107435e-01 2.848902e-02
8.000000e+09 3.727389e-01 -1.043858e-02 3.716176e-01 2.693963e-02
9.000000e+09 3.458906e-01 -7.027868e-03 3.448124e-01 2.636920e-02
1.000000e+10 3.293499e-01 -3.303657e-03 3.282396e-01 2.681783e-02
1.100000e+10 3.218343e-01 9.017481e-04 3.205775e-01 2.840069e-02
1.200000e+10 3.227779e-01 5.866135e-03 3.211967e-01 3.136559e-02
1.300000e+10 3.322931e-01 1.199128e-02 3.301015e-01 3.616507e-02
1.400000e+10 3.511812e-01 1.983461e-02 3.479027e-01 4.357258e-02
1.500000e+10 3.809808e-01 3.013952e-02 3.758012e-01 5.487673e-02
1.600000e+10 4.239929e-01 4.381040e-02 4.154985e-01 7.219139e-02
1.700000e+10 4.830970e-01 6.168006e-02 4.688289e-01 9.888220e-02
1.800000e+10 5.608917e-01 8.370176e-02 5.366754e-01 1.399036e-01
1.900000e+10 6.572800e-01 1.069372e-01 6.165366e-01 2.011570e-01
2.000000e+10 7.648525e-01 1.222366e-01 6.988936e-01 2.856664e-01
2.100000e+10 8.646973e-01 1.131169e-01 7.661145e-01 3.846746e-01
2.200000e+10 9.310037e-01 6.556775e-02 8.007737e-01 4.703513e-01
2.300000e+10 9.462463e-01 -1.265768e-02 7.984655e-01 5.076167e-01
2.400000e+10 9.096546e-01 -9.008287e-02 7.660009e-01 4.822855e-01
2.500000e+10 8.328425e-01 -1.374799e-01 7.107575e-01 4.117641e-01
2.600000e+10 7.347181e-01 -1.488508e-01 6.407630e-01 3.272260e-01
2.700000e+10 6.349956e-01 -1.360265e-01 5.668764e-01 2.517289e-01
2.800000e+10 5.469309e-01 -1.131250e-01 4.987654e-01 1.938279e-01
2.900000e+10 4.757268e-01 -8.887844e-02 4.416359e-01 1.528866e-01
3.000000e+10 4.214225e-01 -6.685303e-02 3.967858e-01 1.252543e-01
3.100000e+10 3.820112e-01 -4.774305e-02 3.634915e-01 1.073642e-01
3.200000e+10 3.552237e-01 -3.103507e-02 3.404191e-01 9.662086e-02
3.300000e+10 3.392603e-01 -1.580654e-02 3.263280e-01 9.142055e-02
3.400000e+10 3.330104e-01 -1.010964e-03 3.203381e-01 9.098579e-02
3.500000e+10 3.360939e-01 1.447573e-02 3.219889e-01 9.525073e-02
3.600000e+10 3.488690e-01 3.190456e-02 3.312035e-01 1.048617e-01
3.700000e+10 3.724430e-01 5.271753e-02 3.481638e-01 1.213122e-01
3.800000e+10 4.086261e-01 7.852631e-02 3.730122e-01 1.472100e-01
3.900000e+10 4.596125e-01 1.107783e-01 4.051642e-01 1.865846e-01
4.000000e+10 5.268711e-01 1.495989e-01 4.418990e-01 2.448237e-01
4.100000e+10 6.084384e-01 1.910334e-01 4.761773e-01 3.270454e-01
4.200000e+10 6.947277e-01 2.228923e-01 4.954723e-01 4.329812e-01
4.300000e+10 7.674985e-01 2.240779e-01 4.869958e-01 5.492523e-01
4.400000e+10 8.102646e-01 1.761829e-01 4.516184e-01 6.492527e-01
4.500000e+10 8.234196e-01 8.150002e-02 4.105456e-01 7.091051e-01
4.600000e+10 8.202620e-01 -3.588724e-02 3.889631e-01 7.212833e-01
4.700000e+10 8.076230e-01 -1.449837e-01 3.953205e-01 6.891708e-01
4.800000e+10 7.790778e-01 -2.198731e-01 4.177235e-01 6.197782e-01
4.900000e+10 7.270390e-01 -2.483678e-01 4.357308e-01 5.263438e-01
5.000000e+10 6.556814e-01 -2.366933e-01 4.364523e-01 4.282567e-01
5.100000e+10 5.786228e-01 -2.021567e-01 4.206151e-01 3.420818e-01
5.200000e+10 5.083626e-01 -1.605912e-01 3.961776e-01 2.751115e-01
5.300000e+10 4.512075e-01 -1.207382e-01 3.707086e-01 2.271248e-01
5.400000e+10 4.085342e-01 -8.547563e-02 3.487389e-01 1.948725e-01
5.500000e+10 3.794886e-01 -5.459460e-02 3.322895e-01 1.749705e-01
5.600000e+10 3.627816e-01 -2.664622e-02 3.219981e-01 1.649777e-01
5.700000e+10 3.575242e-01 2.367482e-04 3.178944e-01 1.636052e-01
5.800000e+10 3.635440e-01 2.809331e-02 3.197475e-01 1.706942e-01
5.900000e+10 3.814685e-01 5.910956e-02 3.270658e-01 1.872224e-01
