# #nu(Hz) #T #rho #c #s
0.000000e+00 1.000000e+00 0.000000e+00 1.000000e+00 0.000000e+00
1.000000e+09 9.196001e-01 -1.415074e-02 9.181490e-01 4.966497e-02
2.000000e+09 7.500326e-01 -3.524053e-02 7.464688e-01 6.396344e-02
3.000000e+09 5.899419e-01 -4.380254e-02 5.856132e-01 5.630330e-02
4.000000e+09 4.729601e-01 -4.251699e-02 4.688870e-01 4.503894e-02
5.000000e+09 3.961405e-01 -3.738225e-02 3.926851e-01 3.644507e-02
6.000000e+09 3.497119e-01 -3.129900e-02 3.469038e-01 3.125023e-02
7.000000e+09 3.262295e-01 -2.498221e-02 3.239682e-01 2.908928e-02
8.000000e+09 3.218105e-01 -1.806557e-02 3.199099e-01 2.988798e-02
9.000000e+09 3.358825e-01 -9.466099e-03 3.339857e-01 3.436526e-02
1.000000e+10 3.711685e-01 2.738535e-03 3.684587e-01 4.468495e-02
1.100000e+10 4.340655e-01 2.161105e-02 4.284850e-01 6.592691e-02
1.200000e+10 5.341385e-01 5.076226e-02 5.204228e-01 1.090288e-01
1.300000e+10 6.769457e-01 8.834879e-02 6.427194e-01 1.932918e-01
1.400000e+10 8.379757e-01 1.075211e-01 7.620833e-01 3.314687e-01
1.500000e+10 9.400723e-01 5.284306e-02 8.113421e-01 4.718765e-01
1.600000e+10 9.252442e-01 -6.628267e-02 7.724523e-01 5.049761e-01
1.700000e+10 8.183094e-01 -1.519631e-01 6.862497e-01 4.190452e-01
1.800000e+10 6.756726e-01 -1.645520e-01 5.827516e-01 2.997611e-01
1.900000e+10 5.456595e-01 -1.374839e-01 4.860685e-01 2.063487e-01
2.000000e+10 4.488327e-01 -1.031394e-01 4.111708e-01 1.474844e-01
2.100000e+10 3.850183e-01 -7.307155e-02 3.604611e-01 1.138749e-01
2.200000e+10 3.481641e-01 -4.811029e-02 3.309806e-01 9.672392e-02
2.300000e+10 3.334162e-01 -2.583564e-02 3.196578e-01 9.120202e-02
2.400000e+10 3.389618e-01 -2.895682e-03 3.250570e-01 9.604517e-02
2.500000e+10 3.664505e-01 2.488908e-02 3.475494e-01 1.134722e-01
2.600000e+10 4.212259e-01 6.290556e-02 3.883814e-01 1.504461e-01
2.700000e+10 5.109744e-01 1.164013e-01 4.457112e-01 2.211041e-01
2.800000e+10 6.358971e-01 1.805061e-01 5.028412e-01 3.448672e-01
2.900000e+10 7.620795e-01 2.140717e-01 5.154757e-01 5.188673e-01
3.000000e+10 8.251079e-01 1.472257e-01 4.567291e-01 6.712125e-01
3.100000e+10 8.217768e-01 -1.286691e-02 3.917725e-01 7.222644e-01
3.200000e+10 7.939910e-01 -1.730973e-01 3.841384e-01 6.729759e-01
3.300000e+10 7.364482e-01 -2.567194e-01 4.085172e-01 5.563856e-01
3.400000e+10 6.404911e-01 -2.518707e-01 4.139386e-01 4.188614e-01
3.500000e+10 5.352787e-01 -2.007420e-01 3.913481e-01 3.050780e-01
3.600000e+10 4.499821e-01 -1.430522e-01 3.596596e-01 2.294884e-01
3.700000e+10 3.933163e-01 -9.316779e-02 3.337823e-01 1.860291e-01
3.800000e+10 3.636381e-01 -5.083193e-02 3.194851e-01 1.660664e-01
3.900000e+10 3.585504e-01 -1.105675e-02 3.181470e-01 1.649808e-01
4.000000e+10 3.785667e-01 3.271209e-02 3.296228e-01 1.832797e-01
4.100000e+10 4.279156e-01 8.813072e-02 3.516921e-01 2.272827e-01
4.200000e+10 5.119103e-01 1.614004e-01 3.746564e-01 3.092485e-01
4.300000e+10 6.228471e-01 2.432506e-01 3.699139e-01 4.380998e-01
4.400000e+10 7.130180e-01 2.818191e-01 2.951918e-01 5.846661e-01
4.500000e+10 7.260475e-01 2.140721e-01 1.644988e-01 6.739868e-01
4.600000e+10 6.933360e-01 6.444157e-02 6.508387e-02 6.872599e-01
4.700000e+10 6.792700e-01 -1.003138e-01 4.518124e-02 6.703011e-01
4.800000e+10 6.905613e-01 -2.387973e-01 9.761637e-02 6.405637e-01
4.900000e+10 6.857235e-01 -3.141859e-01 1.881493e-01 5.797446e-01
5.000000e+10 6.315871e-01 -3.064499e-01 2.658370e-01 4.840675e-01
5.100000e+10 5.471293e-01 -2.438353e-01 3.029451e-01 3.848625e-01
5.200000e+10 4.700863e-01 -1.685537e-01 3.101495e-01 3.104482e-01
5.300000e+10 4.192591e-01 -9.976632e-02 3.071677e-01 2.673441e-01
5.400000e+10 3.983687e-01 -3.751484e-02 3.055807e-01 2.528057e-01
5.500000e+10 4.082103e-01 2.575660e-02 3.088564e-01 2.656689e-01
5.600000e+10 4.517741e-01 9.983767e-02 3.132540e-01 3.098455e-01
5.700000e+10 5.310588e-01 1.910706e-01 3.031140e-01 3.919661e-01
5.800000e+10 6.283442e-01 2.834797e-01 2.449040e-01 5.044578e-01
5.900000e+10 6.835620e-01 3.162831e-01 1.151614e-01 5.949453e-01
6.000000e+10 6.547040e-01 2.442315e-01 -3.403233e-02 6.064899e-01
6.100000e+10 5.939061e-01 1.135941e-01 -1.289733e-01 5.684952e-01
6.200000e+10 5.624783e-01 -2.172983e-02 -1.606120e-01 5.386218e-01
6.300000e+10 5.759483e-01 -1.489647e-01 -1.438332e-01 5.374364e-01
6.400000e+10 6.193703e-01 -2.626626e-01 -8.249520e-02 5.548175e-01
6.500000e+10 6.535410e-01 -3.361746e-01 1.867585e-02 5.601372e-01
6.600000e+10 6.371509e-01 -3.361608e-01 1.292931e-01 5.255859e-01
6.700000e+10 5.750005e-01 -2.707758e-01 2.096289e-01 4.619111e-01
6.800000e+10 5.080866e-01 -1.803553e-01 2.509343e-01 4.033062e-01
6.900000e+10 4.661554e-01 -8.982941e-02 2.675339e-01 3.710217e-01
7.000000e+10 4.602441e-01 -5.851657e-04 2.711812e-01 3.718670e-01
7.100000e+10 4.944665e-01 9.645978e-02 2.609902e-01 4.087503e-01
7.200000e+10 5.665167e-01 2.063089e-01 2.192884e-01 4.798859e-01
7.300000e+10 6.464223e-01 3.042475e-01 1.169671e-01 5.582240e-01
7.400000e+10 6.659927e-01 3.247060e-01 -3.800349e-02 5.802310e-01
7.500000e+10 6.045810e-01 2.471678e-01 -1.700755e-01 5.248815e-01
7.600000e+10 5.261750e-01 1.332726e-01 -2.367964e-01 4.505841e-01
7.700000e+10 4.795030e-01 2.677070e-02 -2.584445e-01 4.030048e-01
7.800000e+10 4.746116e-01 -6.948036e-02 -2.583323e-01 3.920370e-01
7.900000e+10 5.082969e-01 -1.643627e-01 -2.421979e-01 4.155609e-01
8.000000e+10 5.700781e-01 -2.589593e-01 -2.010806e-01 4.663643e-01
8.100000e+10 6.318747e-01 -3.318876e-01 -1.215326e-01 5.237805e-01
8.200000e+10 6.514486e-01 -3.431872e-01 -1.052709e-02 5.536217e-01
8.300000e+10 6.175301e-01 -2.798961e-01 9.362616e-02 5.424350e-01
8.400000e+10 5.678613e-01 -1.737481e-01 1.599015e-01 5.164393e-01
8.500000e+10 5.430646e-01 -5.445535e-02 1.852377e-01 5.075833e-01
8.600000e+10 5.617846e-01 7.214871e-02 1.707640e-01 5.303170e-01
8.700000e+10 6.201932e-01 2.036734e-01 1.032716e-01 5.766210e-01
8.800000e+10 6.752591e-01 3.044484e-01 -2.889416e-02 6.020392e-01
8.900000e+10 6.573225e-01 3.109398e-01 -1.798995e-01 5.504775e-01
9.000000e+10 5.705545e-01 2.308398e-01 -2.728706e-01 4.447325e-01
9.100000e+10 4.821598e-01 1.323287e-01 -3.027650e-01 3.511417e-01
9.200000e+10 4.268054e-01 4.859521e-02 -3.048687e-01 2.947142e-01
9.300000e+10 4.074333e-01 -2.147847e-02 -3.019168e-01 2.727394e-01
9.400000e+10 4.207827e-01 -8.773731e-02 -3.012727e-01 2.803480e-01
9.500000e+10 4.651997e-01 -1.588906e-01 -3.009944e-01 3.171228e-01
9.600000e+10 5.370853e-01 -2.368141e-01 -2.905425e-01 3.846618e-01
9.700000e+10 6.192810e-01 -3.055837e-01 -2.509825e-01 4.765872e-01
9.800000e+10 6.744868e-01 -3.251509e-01 -1.702768e-01 5.658756e-01
9.900000e+10 6.783271e-01 -2.638855e-01 -7.235299e-02 6.206908e-01
1.000000e+11 6.588534e-01 -1.378020e-01 -5.510513e-03 6.442578e-01
1.010000e+11 6.619593e-01 1.837899e-02 -2.426837e-03 6.616996e-01
1.020000e+11 6.978845e-01 1.752640e-01 -7.728524e-02 6.710830e-01
1.030000e+11 7.173708e-01 2.790890e-01 -2.114381e-01 6.261183e-01
1.040000e+11 6.592362e-01 2.753110e-01 -3.246116e-01 5.034119e-01
1.050000e+11 5.514823e-01 1.987979e-01 -3.621877e-01 3.652837e-01
1.060000e+11 4.566071e-01 1.164858e-01 -3.521683e-01 2.662679e-01
1.070000e+11 3.961614e-01 5.175917e-02 -3.321762e-01 2.095801e-01
1.080000e+11 3.676854e-01 1.531642e-03 -3.187525e-01 1.832678e-01
1.090000e+11 3.662086e-01 -4.231537e-02 -3.165822e-01 1.791475e-01
1.100000e+11 3.900816e-01 -8.720950e-02 -3.263151e-01 1.951323e-01
1.110000e+11 4.408571e-01 -1.390108e-01 -3.464229e-01 2.345680e-01
1.120000e+11 5.200019e-01 -1.993957e-01 -3.709791e-01 3.049882e-01
1.130000e+11 6.198861e-01 -2.568907e-01 -3.851651e-01 4.122059e-01
1.140000e+11 7.126460e-01 -2.750900e-01 -3.690630e-01 5.440425e-01
1.150000e+11 7.666839e-01 -2.095181e-01 -3.275680e-01 6.607613e-01
1.160000e+11 7.904018e-01 -6.089333e-02 -3.109288e-01 7.241204e-01
1.170000e+11 8.059128e-01 1.121363e-01 -3.632274e-01 7.106243e-01
1.180000e+11 7.797135e-01 2.196673e-01 -4.501915e-01 5.975174e-01
1.190000e+11 6.779505e-01 2.143410e-01 -4.837203e-01 4.238981e-01
1.200000e+11 5.500140e-01 1.502436e-01 -4.508118e-01 2.769675e-01
1.210000e+11 4.483136e-01 8.712510e-02 -3.984308e-01 1.861377e-01
1.220000e+11 3.830506e-01 4.053697e-02 -3.554518e-01 1.368887e-01
1.230000e+11 3.478674e-01 6.834344e-03 -3.290790e-01 1.125700e-01
1.240000e+11 3.364415e-01 -2.008859e-02 -3.193785e-01 1.038592e-01
1.250000e+11 3.460118e-01 -4.525051e-02 -3.258710e-01 1.071664e-01
1.260000e+11 3.774236e-01 -7.268982e-02 -3.493387e-01 1.229929e-01
1.270000e+11 4.346533e-01 -1.055711e-01 -3.918324e-01 1.557099e-01
1.280000e+11 5.231358e-01 -1.443407e-01 -4.550232e-01 2.139875e-01
1.290000e+11 6.435605e-01 -1.798484e-01 -5.354843e-01 3.083524e-01
1.300000e+11 7.786654e-01 -1.816331e-01 -6.190658e-01 4.359894e-01
1.310000e+11 8.881474e-01 -1.077821e-01 -6.892903e-01 5.496068e-01
1.320000e+11 9.290237e-01 2.660551e-02 -7.398058e-01 5.613061e-01
1.330000e+11 8.677052e-01 1.204865e-01 -7.384203e-01 4.394663e-01
1.340000e+11 7.232610e-01 1.212071e-01 -6.573212e-01 2.763043e-01
1.350000e+11 5.727243e-01 7.989242e-02 -5.439864e-01 1.603408e-01
1.360000e+11 4.600544e-01 4.145060e-02 -4.478019e-01 9.698128e-02
1.370000e+11 3.870928e-01 1.505202e-02 -3.813110e-01 6.493219e-02
1.380000e+11 3.445745e-01 -2.358421e-03 -3.410527e-01 4.908214e-02
1.390000e+11 3.249936e-01 -1.467172e-02 -3.219439e-01 4.192511e-02
1.400000e+11 3.245615e-01 -2.461340e-02 -3.211214e-01 4.019215e-02
1.410000e+11 3.429122e-01 -3.393959e-02 -3.385298e-01 4.283046e-02
1.420000e+11 3.829509e-01 -4.370997e-02 -3.771236e-01 5.018602e-02
1.430000e+11 4.510262e-01 -5.408446e-02 -4.432107e-01 6.374795e-02
1.440000e+11 5.562477e-01 -6.308485e-02 -5.459902e-01 8.559470e-02
1.450000e+11 7.043938e-01 -6.382864e-02 -6.919970e-01 1.150508e-01
1.460000e+11 8.757831e-01 -4.449014e-02 -8.637211e-01 1.378498e-01
1.470000e+11 9.910906e-01 -8.094750e-03 -9.837685e-01 1.199775e-01
1.480000e+11 9.551093e-01 8.835735e-03 -9.533318e-01 5.756872e-02
1.490000e+11 7.981029e-01 -4.239764e-03 -7.980804e-01 4.242949e-03
1.500000e+11 6.283630e-01 -2.020189e-02 -6.277979e-01 -1.737035e-02
1.510000e+11 4.987045e-01 -2.755840e-02 -4.974775e-01 -2.151183e-02
1.520000e+11 4.120299e-01 -2.868789e-02 -4.105250e-01 -2.036926e-02
1.530000e+11 3.585086e-01 -2.691689e-02 -3.570096e-01 -1.865525e-02
1.540000e+11 3.295868e-01 -2.386880e-02 -3.282385e-01 -1.781088e-02
1.550000e+11 3.203485e-01 -1.992683e-02 -3.191979e-01 -1.840719e-02
1.560000e+11 3.292910e-01 -1.467074e-02 -3.282853e-01 -2.112086e-02
1.570000e+11 3.581375e-01 -6.916881e-03 -3.570213e-01 -2.739332e-02
1.580000e+11 4.121366e-01 5.528156e-03 -4.101051e-01 -4.049471e-02
1.590000e+11 5.002247e-01 2.591163e-02 -4.949385e-01 -6.774341e-02
1.600000e+11 6.315016e-01 5.592509e-02 -6.166901e-01 -1.239352e-01
1.610000e+11 7.970075e-01 8.309732e-02 -7.591660e-01 -2.279975e-01
1.620000e+11 9.346228e-01 6.315755e-02 -8.586677e-01 -3.636217e-01
1.630000e+11 9.571898e-01 -2.840066e-02 -8.517783e-01 -4.357515e-01
1.640000e+11 8.608739e-01 -1.180664e-01 -7.596433e-01 -3.874354e-01
1.650000e+11 7.120442e-01 -1.447332e-01 -6.365405e-01 -2.843861e-01
1.660000e+11 5.716458e-01 -1.275004e-01 -5.217643e-01 -1.956645e-01
1.670000e+11 4.655505e-01 -9.860580e-02 -4.335781e-01 -1.379281e-01
1.680000e+11 3.945576e-01 -7.187345e-02 -3.736574e-01 -1.043556e-01
1.690000e+11 3.520222e-01 -4.954342e-02 -3.376009e-01 -8.654913e-02
1.700000e+11 3.321912e-01 -3.000278e-02 -3.211408e-01 -7.949462e-02
1.710000e+11 3.323137e-01 -1.056009e-02 -3.220153e-01 -8.140627e-02
1.720000e+11 3.529919e-01 1.219127e-02 -3.401776e-01 -9.345514e-02
1.730000e+11 3.984410e-01 4.276995e-02 -3.773289e-01 -1.206186e-01
1.740000e+11 4.762268e-01 8.657457e-02 -4.347579e-01 -1.740184e-01
1.750000e+11 5.922295e-01 1.446956e-01 -5.054067e-01 -2.726960e-01
1.760000e+11 7.302602e-01 1.938553e-01 -5.571197e-01 -4.304855e-01
1.770000e+11 8.304709e-01 1.681370e-01 -5.420202e-01 -6.063217e-01
1.780000e+11 8.516446e-01 3.388261e-02 -4.814834e-01 -7.016582e-01
1.790000e+11 8.248840e-01 -1.318166e-01 -4.517979e-01 -6.774486e-01
1.800000e+11 7.636285e-01 -2.334186e-01 -4.558936e-01 -5.663967e-01
1.810000e+11 6.637938e-01 -2.435396e-01 -4.478595e-01 -4.251265e-01
1.820000e+11 5.527931e-01 -2.000534e-01 -4.150912e-01 -3.053820e-01
1.830000e+11 4.610039e-01 -1.456318e-01 -3.751377e-01 -2.249172e-01
1.840000e+11 3.983165e-01 -9.775604e-02 -3.427682e-01 -1.777914e-01
1.850000e+11 3.629973e-01 -5.772531e-02 -3.234085e-01 -1.544078e-01
1.860000e+11 3.518837e-01 -2.141401e-02 -3.180535e-01 -1.490151e-01
1.870000e+11 3.644102e-01 1.690479e-02 -3.266060e-01 -1.607404e-01
1.880000e+11 4.037368e-01 6.409990e-02 -3.482083e-01 -1.940248e-01
1.890000e+11 4.758799e-01 1.273384e-01 -3.779240e-01 -2.596537e-01
1.900000e+11 5.817142e-01 2.061932e-01 -3.970213e-01 -3.718197e-01
