# #nu(Hz) #T #rho #c #s
0.000000e+00 1.000000e+00 0.000000e+00 1.000000e+00 0.000000e+00
1.000000e+09 9.755061e-01 -3.587402e-03 9.751847e-01 2.478239e-02
2.000000e+09 9.098389e-01 -1.223424e-02 9.087463e-01 4.286522e-02
3.000000e+09 8.209274e-01 -2.165984e-02 8.190031e-01 5.183119e-02
4.000000e+09 7.265673e-01 -2.873643e-02 7.240325e-01 5.339555e-02
5.000000e+09 6.385084e-01 -3.254716e-02 6.356622e-01 5.066726e-02
6.000000e+09 5.622030e-01 -3.357392e-02 5.592949e-01 4.619755e-02
7.000000e+09 4.989526e-01 -3.270265e-02 4.961466e-01 4.150639e-02
8.000000e+09 4.479938e-01 -3.070855e-02 4.453792e-01 3.731955e-02
9.000000e+09 4.078167e-01 -2.811998e-02 4.054307e-01 3.390735e-02
1.000000e+10 3.768340e-01 -2.524357e-02 3.746804e-01 3.132497e-02
1.100000e+10 3.536626e-01 -2.222591e-02 3.517245e-01 2.954807e-02
1.200000e+10 3.372145e-01 -1.910623e-02 3.354608e-01 2.854146e-02
1.300000e+10 3.267060e-01 -1.585071e-02 3.250924e-01 2.829325e-02
1.400000e+10 3.216411e-01 -1.237047e-02 3.201071e-01 2.883440e-02
1.500000e+10 3.217927e-01 -8.527261e-03 3.202537e-01 3.025533e-02
1.600000e+10 3.271937e-01 -4.130073e-03 3.255267e-01 3.272682e-02
1.700000e+10 3.381411e-01 1.075024e-03 3.361602e-01 3.653180e-02
1.800000e+10 3.552117e-01 7.419068e-03 3.526282e-01 4.211470e-02
1.900000e+10 3.792839e-01 1.532278e-02 3.756404e-01 5.015762e-02
2.000000e+10 4.115485e-01 2.529336e-02 4.061114e-01 6.169259e-02
2.100000e+10 4.534651e-01 3.787195e-02 4.450536e-01 7.825350e-02
2.200000e+10 5.065725e-01 5.345879e-02 4.933006e-01 1.020411e-01
2.300000e+10 5.719813e-01 7.188255e-02 5.509119e-01 1.359839e-01
2.400000e+10 6.493014e-01 9.154211e-02 6.161072e-01 1.833692e-01
2.500000e+10 7.348963e-01 1.081342e-01 6.838570e-01 2.464126e-01
2.600000e+10 8.201368e-01 1.137997e-01 7.451337e-01 3.231870e-01
2.700000e+10 8.917858e-01 9.889824e-02 7.888829e-01 4.039366e-01
2.800000e+10 9.365496e-01 5.810961e-02 8.074035e-01 4.710074e-01
2.900000e+10 9.473039e-01 -2.876770e-03 8.006979e-01 5.062206e-01
3.000000e+10 9.249618e-01 -6.810674e-02 7.743720e-01 5.012622e-01
3.100000e+10 8.755615e-01 -1.205139e-01 7.342054e-01 4.615482e-01
3.200000e+10 8.075290e-01 -1.508392e-01 6.843276e-01 4.013059e-01
3.300000e+10 7.303153e-01 -1.595088e-01 6.287291e-01 3.355846e-01
3.400000e+10 6.526866e-01 -1.526681e-01 5.719478e-01 2.748964e-01
3.500000e+10 5.809976e-01 -1.373455e-01 5.181278e-01 2.241382e-01
3.600000e+10 5.186522e-01 -1.188193e-01 4.700683e-01 1.841680e-01
3.700000e+10 4.667045e-01 -1.001665e-01 4.290856e-01 1.538354e-01
3.800000e+10 4.248178e-01 -8.280001e-02 3.954141e-01 1.313849e-01
3.900000e+10 3.920500e-01 -6.713353e-02 3.686963e-01 1.151491e-01
4.000000e+10 3.673356e-01 -5.306197e-02 3.483482e-01 1.037950e-01
4.100000e+10 3.497309e-01 -4.023993e-02 3.337769e-01 9.636084e-02
4.200000e+10 3.385186e-01 -2.821857e-02 3.244900e-01 9.222136e-02
4.300000e+10 3.332457e-01 -1.649951e-02 3.201426e-01 9.104507e-02
4.400000e+10 3.337348e-01 -4.543507e-03 3.205500e-01 9.276870e-02
4.500000e+10 3.400915e-01 8.244017e-03 3.256819e-01 9.759902e-02
4.600000e+10 3.527144e-01 2.253690e-02 3.356390e-01 1.060473e-01
4.700000e+10 3.723046e-01 3.910766e-02 3.506000e-01 1.189999e-01
4.800000e+10 3.998520e-01 5.881691e-02 3.707108e-01 1.378247e-01
4.900000e+10 4.365458e-01 8.251883e-02 3.958602e-01 1.644917e-01
5.000000e+10 4.834987e-01 1.107730e-01 4.252584e-01 2.016323e-01
5.100000e+10 5.410954e-01 1.431804e-01 4.567447e-01 2.523250e-01
5.200000e+10 6.077738e-01 1.771616e-01 4.859242e-01 3.191871e-01
5.300000e+10 6.784170e-01 2.063844e-01 5.058035e-01 4.022660e-01
5.400000e+10 7.436809e-01 2.202153e-01 5.084651e-01 4.960138e-01
5.500000e+10 7.927022e-01 2.067348e-01 4.899163e-01 5.878941e-01
5.600000e+10 8.193752e-01 1.596478e-01 4.553012e-01 6.622606e-01
5.700000e+10 8.264520e-01 8.349368e-02 4.180491e-01 7.080160e-01
5.800000e+10 8.219539e-01 -8.399550e-03 3.920162e-01 7.223995e-01
5.900000e+10 8.116853e-01 -1.001011e-01 3.840054e-01 7.080626e-01
6.000000e+10 7.954350e-01 -1.774950e-01 3.918943e-01 6.690524e-01
6.100000e+10 7.690271e-01 -2.305404e-01 4.073371e-01 6.101887e-01
6.200000e+10 7.293029e-01 -2.552109e-01 4.205792e-01 5.383896e-01
6.300000e+10 6.776420e-01 -2.542633e-01 4.250548e-01 4.624686e-01
6.400000e+10 6.194982e-01 -2.351726e-01 4.193118e-01 3.907039e-01
6.500000e+10 5.613590e-01 -2.063599e-01 4.057458e-01 3.284964e-01
6.600000e+10 5.081925e-01 -1.743786e-01 3.880995e-01 2.779037e-01
6.700000e+10 4.627014e-01 -1.431138e-01 3.696835e-01 2.386319e-01
6.800000e+10 4.257961e-01 -1.142759e-01 3.527609e-01 2.092919e-01
6.900000e+10 3.973682e-01 -8.821000e-02 3.386340e-01 1.882751e-01
7.000000e+10 3.769051e-01 -6.453581e-02 3.279473e-01 1.741930e-01
7.100000e+10 3.638642e-01 -4.253053e-02 3.209649e-01 1.660416e-01
7.200000e+10 3.578698e-01 -2.131489e-02 3.177568e-01 1.632394e-01
7.300000e+10 3.588101e-01 7.888135e-05 3.182952e-01 1.656287e-01
7.400000e+10 3.668813e-01 2.269781e-02 3.224740e-01 1.734854e-01
7.500000e+10 3.825968e-01 4.767291e-02 3.300504e-01 1.875483e-01
7.600000e+10 4.067447e-01 7.618785e-02 3.404854e-01 2.090607e-01
7.700000e+10 4.402249e-01 1.093294e-01 3.526416e-01 2.397686e-01
7.800000e+10 4.836283e-01 1.476742e-01 3.642931e-01 2.817433e-01
7.900000e+10 5.363523e-01 1.904028e-01 3.715066e-01 3.367542e-01
8.000000e+10 5.951539e-01 2.338455e-01 3.682942e-01 4.048256e-01
8.100000e+10 6.527292e-01 2.700478e-01 3.475892e-01 4.819869e-01
8.200000e+10 6.983039e-01 2.873502e-01 3.047666e-01 5.587267e-01
8.300000e+10 7.223923e-01 2.751572e-01 2.426409e-01 6.223059e-01
8.400000e+10 7.234898e-01 2.306937e-01 1.728544e-01 6.635807e-01
8.500000e+10 7.096466e-01 1.607676e-01 1.103565e-01 6.823295e-01
8.600000e+10 6.928022e-01 7.653138e-02 6.616041e-02 6.853763e-01
8.700000e+10 6.821238e-01 -1.235561e-02 4.496114e-02 6.805283e-01
8.800000e+10 6.811443e-01 -9.926462e-02 4.698210e-02 6.722327e-01
8.900000e+10 6.878816e-01 -1.788999e-01 7.002805e-02 6.605089e-01
9.000000e+10 6.960549e-01 -2.453490e-01 1.098854e-01 6.420448e-01
9.100000e+10 6.972505e-01 -2.919876e-01 1.598074e-01 6.126688e-01
9.200000e+10 6.844278e-01 -3.138128e-01 2.109514e-01 5.704931e-01
9.300000e+10 6.554436e-01 -3.104809e-01 2.548252e-01 5.179499e-01
9.400000e+10 6.138920e-01 -2.869980e-01 2.863359e-01 4.609851e-01
9.500000e+10 5.665871e-01 -2.511920e-01 3.049026e-01 4.061502e-01
9.600000e+10 5.201500e-01 -2.103308e-01 3.131229e-01 3.581496e-01
9.700000e+10 4.791235e-01 -1.692699e-01 3.146548e-01 3.192168e-01
9.800000e+10 4.458571e-01 -1.303571e-01 3.127772e-01 2.897689e-01
9.900000e+10 4.212158e-01 -9.414038e-02 3.098702e-01 2.693340e-01
1.000000e+11 4.053395e-01 -6.010870e-02 3.074320e-01 2.572405e-01
1.010000e+11 3.981777e-01 -2.719293e-02 3.062568e-01 2.530075e-01
1.020000e+11 3.997928e-01 5.961520e-03 3.065780e-01 2.565321e-01
1.030000e+11 4.104911e-01 4.085221e-02 3.080956e-01 2.681624e-01
1.040000e+11 4.307996e-01 7.899053e-02 3.098567e-01 2.886825e-01
1.050000e+11 4.612339e-01 1.216419e-01 3.099696e-01 3.191532e-01
1.060000e+11 5.017032e-01 1.692362e-01 3.051972e-01 3.604441e-01
1.070000e+11 5.503662e-01 2.202367e-01 2.906730e-01 4.121989e-01
1.080000e+11 6.020404e-01 2.695611e-01 2.604353e-01 4.711294e-01
1.090000e+11 6.473140e-01 3.076969e-01 2.098309e-01 5.294422e-01
1.100000e+11 6.748003e-01 3.229523e-01 1.397540e-01 5.757831e-01
1.110000e+11 6.774259e-01 3.077325e-01 5.927910e-02 6.005769e-01
1.120000e+11 6.578306e-01 2.639269e-01 -1.781076e-02 6.023010e-01
1.130000e+11 6.266055e-01 2.011417e-01 -8.046095e-02 5.879647e-01
1.140000e+11 5.955390e-01 1.299736e-01 -1.243381e-01 5.677267e-01
1.150000e+11 5.728513e-01 5.735059e-02 -1.502458e-01 5.498143e-01
1.160000e+11 5.625141e-01 -1.387429e-02 -1.607062e-01 5.388906e-01
1.170000e+11 5.653985e-01 -8.319789e-02 -1.576751e-01 5.365558e-01
1.180000e+11 5.802018e-01 -1.505035e-01 -1.417880e-01 5.421061e-01
1.190000e+11 6.035749e-01 -2.144322e-01 -1.126793e-01 5.528335e-01
1.200000e+11 6.298278e-01 -2.712627e-01 -7.010131e-02 5.640793e-01
1.210000e+11 6.511916e-01 -3.148659e-01 -1.559362e-02 5.697954e-01
1.220000e+11 6.597293e-01 -3.385432e-01 4.616399e-02 5.643582e-01
1.230000e+11 6.507276e-01 -3.384324e-01 1.077838e-01 5.452455e-01
1.240000e+11 6.251953e-01 -3.160419e-01 1.618402e-01 5.145818e-01
1.250000e+11 5.890745e-01 -2.774901e-01 2.038576e-01 4.779646e-01
1.260000e+11 5.499519e-01 -2.302274e-01 2.332384e-01 4.416360e-01
1.270000e+11 5.141469e-01 -1.801157e-01 2.520330e-01 4.103471e-01
1.280000e+11 4.856943e-01 -1.303855e-01 2.631384e-01 3.868550e-01
1.290000e+11 4.667314e-01 -8.198633e-02 2.690691e-01 3.724490e-01
1.300000e+11 4.582968e-01 -3.436698e-02 2.714171e-01 3.676787e-01
1.310000e+11 4.609644e-01 1.383572e-02 2.706762e-01 3.728688e-01
1.320000e+11 4.751223e-01 6.425253e-02 2.661362e-01 3.883096e-01
1.330000e+11 5.008164e-01 1.181994e-01 2.557204e-01 4.140689e-01
1.340000e+11 5.370366e-01 1.757759e-01 2.358650e-01 4.493093e-01
1.350000e+11 5.803669e-01 2.344503e-01 2.018792e-01 4.910230e-01
1.360000e+11 6.234750e-01 2.875403e-01 1.496120e-01 5.325954e-01
1.370000e+11 6.552477e-01 3.243592e-01 7.888282e-02 5.638423e-01
1.380000e+11 6.649475e-01 3.343854e-01 -3.255472e-03 5.747443e-01
1.390000e+11 6.490420e-01 3.141004e-01 -8.387964e-02 5.617479e-01
1.400000e+11 6.139303e-01 2.697159e-01 -1.510151e-01 5.304321e-01
1.410000e+11 5.712204e-01 2.124436e-01 -1.994287e-01 4.913132e-01
1.420000e+11 5.311654e-01 1.519188e-01 -2.304510e-01 4.538169e-01
1.430000e+11 4.998625e-01 9.338688e-02 -2.483625e-01 4.236243e-01
1.440000e+11 4.798873e-01 3.834333e-02 -2.574077e-01 4.031909e-01
1.450000e+11 4.718579e-01 -1.384879e-02 -2.605330e-01 3.931675e-01
1.460000e+11 4.755656e-01 -6.466353e-02 -2.591727e-01 3.934600e-01
1.470000e+11 4.904340e-01 -1.155681e-01 -2.533703e-01 4.036992e-01
1.480000e+11 5.154195e-01 -1.673652e-01 -2.419360e-01 4.232176e-01
1.490000e+11 5.484733e-01 -2.194747e-01 -2.226677e-01 4.506361e-01
