# #nu(Hz) #T #rho #c #s
0.000000e+00 1.000000e+00 0.000000e+00 1.000000e+00 0.000000e+00
1.000000e+09 3.959488e-01 -4.412388e-02 3.915727e-01 3.872167e-02
2.000000e+09 3.717867e-01 -3.729873e-03 3.692705e-01 4.302004e-02
3.000000e+09 9.422245e-01 4.931873e-02 8.136055e-01 4.726529e-01
4.000000e+09 4.469962e-01 -1.089945e-01 4.072324e-01 1.486190e-01
5.000000e+09 3.676099e-01 1.934326e-02 3.492687e-01 1.130233e-01
6.000000e+09 8.285537e-01 1.385696e-01 4.570966e-01 6.770246e-01
7.000000e+09 5.302949e-01 -2.039291e-01 3.856311e-01 3.015199e-01
8.000000e+09 3.801760e-01 2.862672e-02 3.313886e-01 1.841084e-01
9.000000e+09 7.272055e-01 2.021326e-01 1.584075e-01 6.803509e-01
1.000000e+10 6.241914e-01 -3.074621e-01 2.650898e-01 4.741407e-01
1.100000e+10 4.100583e-01 2.386389e-02 3.099451e-01 2.674178e-01
1.200000e+10 6.518712e-01 2.299220e-01 -4.501872e-02 6.083135e-01
1.300000e+10 6.514893e-01 -3.425528e-01 2.804180e-02 5.534524e-01
1.400000e+10 4.616740e-01 9.713246e-04 2.712534e-01 3.735821e-01
1.500000e+10 5.974900e-01 2.308563e-01 -1.823210e-01 5.200564e-01
1.600000e+10 5.762457e-01 -2.733841e-01 -1.916890e-01 4.696547e-01
1.700000e+10 5.427166e-01 -4.741357e-02 1.854795e-01 5.078294e-01
1.800000e+10 5.594711e-01 2.130214e-01 -2.828386e-01 4.331652e-01
1.900000e+10 4.732636e-01 -1.748569e-01 -2.978199e-01 3.235844e-01
2.000000e+10 6.560943e-01 -1.239060e-01 -6.929280e-04 6.442877e-01
2.100000e+10 5.366760e-01 1.803384e-01 -3.665874e-01 3.480128e-01
2.200000e+10 3.963932e-01 -1.008924e-01 -3.270846e-01 1.999098e-01
2.300000e+10 7.685214e-01 -1.950199e-01 -3.181106e-01 6.718616e-01
2.400000e+10 5.313390e-01 1.325459e-01 -4.461805e-01 2.562726e-01
2.500000e+10 3.501220e-01 -5.602496e-02 -3.277899e-01 1.095462e-01
2.600000e+10 7.979636e-01 -1.786960e-01 -6.262784e-01 4.610737e-01
2.700000e+10 5.491855e-01 6.515372e-02 -5.267218e-01 1.411520e-01
2.800000e+10 3.268063e-01 -3.263305e-02 -3.226022e-01 4.080759e-02
2.900000e+10 7.366148e-01 -6.739265e-02 -7.223786e-01 1.273922e-01
3.000000e+10 5.982550e-01 -2.922827e-02 -5.970271e-01 -2.476817e-02
3.100000e+10 3.209034e-01 -2.517266e-02 -3.193725e-01 -1.861484e-02
3.200000e+10 6.659055e-01 5.675739e-02 -6.494088e-01 -1.359303e-01
3.300000e+10 6.771307e-01 -1.489548e-01 -6.044242e-01 -2.664393e-01
3.400000e+10 3.307420e-01 -3.194786e-02 -3.195072e-01 -7.927647e-02
3.500000e+10 6.253815e-01 1.529032e-01 -5.260432e-01 -3.016641e-01
3.600000e+10 7.390519e-01 -2.473132e-01 -4.500712e-01 -5.314789e-01
3.700000e+10 3.584353e-01 -5.502275e-02 -3.200098e-01 -1.517962e-01
3.800000e+10 6.132631e-01 2.207694e-01 -4.007379e-01 -4.083645e-01
3.900000e+10 7.043653e-01 -2.448633e-01 -1.461309e-01 -6.440638e-01
4.000000e+10 4.099545e-01 -1.002946e-01 -3.104265e-01 -2.482721e-01
4.100000e+10 6.204442e-01 2.665974e-01 -2.788682e-01 -4.859108e-01
4.200000e+10 5.945289e-01 -1.633623e-01 1.122065e-01 -5.605239e-01
4.300000e+10 4.927638e-01 -1.751270e-01 -2.634931e-01 -3.777805e-01
4.400000e+10 6.404499e-01 2.933087e-01 -1.519458e-01 -5.486881e-01
4.500000e+10 4.898647e-01 -8.346456e-02 2.439313e-01 -4.165317e-01
4.600000e+10 5.991537e-01 -2.716817e-01 -1.273865e-01 -5.186009e-01
4.700000e+10 6.705013e-01 2.998181e-01 -6.664505e-03 -5.996971e-01
4.800000e+10 4.176698e-01 -3.279984e-02 2.965549e-01 -2.922796e-01
4.900000e+10 6.688535e-01 -3.295289e-01 1.193697e-01 -5.696724e-01
5.000000e+10 7.117699e-01 2.814172e-01 1.736796e-01 -6.302826e-01
5.100000e+10 3.735480e-01 -7.286482e-03 3.167200e-01 -1.979229e-01
5.200000e+10 6.335708e-01 -2.801850e-01 3.511013e-01 -4.468066e-01
5.300000e+10 7.697164e-01 2.301925e-01 4.064928e-01 -6.117503e-01
5.400000e+10 3.500387e-01 2.509944e-04 3.273265e-01 -1.240338e-01
5.500000e+10 5.413025e-01 -1.714220e-01 4.475653e-01 -2.516112e-01
5.600000e+10 8.503530e-01 1.393747e-01 6.893350e-01 -4.780085e-01
5.700000e+10 3.431802e-01 -6.478109e-03 3.379308e-01 -5.944276e-02
5.800000e+10 4.649056e-01 -7.583766e-02 4.494130e-01 -9.172708e-02
5.900000e+10 9.380037e-01 2.578009e-02 9.275871e-01 -1.369981e-01
